14/07/01-10:49:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 53.549/53.610/53.681/0.212 ms
14/07/01-10:51:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.557/53.622/53.665/0.295 ms
14/07/01-10:53:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.624/53.802/54.333/0.268 ms
14/07/01-10:54:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.676/53.833/54.191/0.317 ms
14/07/01-10:56:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.593/53.701/54.002/0.257 ms
14/07/01-10:58:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.573/53.879/54.311/0.414 ms
14/07/01-11:00:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.582/53.851/54.530/0.403 ms
14/07/01-11:01:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.619/53.671/53.714/0.151 ms
14/07/01-11:03:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 53.528/53.589/53.703/0.061 ms
14/07/01-11:05:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.613/53.724/54.091/0.277 ms
14/07/01-11:06:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 53.533/53.723/54.180/0.235 ms
14/07/01-11:08:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.562/53.777/54.287/0.397 ms
14/07/01-11:10:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 53.576/53.812/54.685/0.483 ms
14/07/01-11:11:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.587/53.807/54.577/0.437 ms
14/07/01-11:13:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.076/54.700/55.574/0.579 ms
14/07/01-11:15:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.663/54.113/54.425/0.368 ms
14/07/01-11:16:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.104/54.429/54.722/0.324 ms
14/07/01-11:18:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.586/53.981/54.707/0.467 ms
14/07/01-11:20:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 53.587/53.775/54.359/0.414 ms
14/07/01-11:21:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.555/53.616/53.732/0.300 ms
14/07/01-11:23:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.579/53.829/54.133/0.271 ms
14/07/01-11:25:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 53.531/53.641/53.770/0.267 ms
14/07/01-11:26:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.535/53.713/53.936/0.292 ms
14/07/01-11:28:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.614/53.708/53.967/0.320 ms
14/07/01-11:30:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.582/53.727/53.893/0.323 ms
14/07/01-11:31:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.528/53.588/53.627/0.150 ms
14/07/01-11:33:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.539/53.657/53.788/0.304 ms
14/07/01-11:35:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.553/53.614/53.654/0.034 ms
14/07/01-11:36:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.643/55.404/62.316/3.462 ms
14/07/01-11:38:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 53.561/53.676/53.822/0.230 ms
14/07/01-11:40:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.521/53.806/54.600/0.473 ms
14/07/01-11:41:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.571/53.689/54.022/0.266 ms
