14/07/01-10:49:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.359/287.410/288.936/1.409 ms
14/07/01-10:51:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 286.247/287.161/287.827/0.810 ms
14/07/01-10:52:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.754/287.269/289.683/1.680 ms
14/07/01-10:54:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.602/287.564/288.507/0.789 ms
14/07/01-10:56:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.337/287.110/288.503/1.192 ms
14/07/01-10:57:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 286.291/287.603/288.459/0.939 ms
14/07/01-10:59:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.574/287.897/289.509/1.127 ms
14/07/01-11:01:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 285.727/287.546/289.328/1.199 ms
14/07/01-11:02:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 285.408/288.620/295.079/3.402 ms
14/07/01-11:04:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 287.249/287.904/288.911/0.829 ms
14/07/01-11:06:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.250/287.114/287.653/0.834 ms
14/07/01-11:07:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 287.209/287.407/287.566/0.599 ms
14/07/01-11:09:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.550/287.365/288.889/0.974 ms
14/07/01-11:11:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.373/286.782/288.739/1.201 ms
14/07/01-11:12:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.260/287.778/288.869/1.076 ms
14/07/01-11:14:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.824/287.591/288.550/1.204 ms
14/07/01-11:16:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 287.203/287.781/288.939/0.608 ms
14/07/01-11:18:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.558/287.424/288.888/1.035 ms
14/07/01-11:19:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.213/287.294/288.931/1.222 ms
14/07/01-11:21:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 286.206/288.694/295.085/3.298 ms
14/07/01-11:23:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.357/286.847/287.742/0.905 ms
14/07/01-11:24:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 285.763/287.447/288.521/1.136 ms
14/07/01-11:26:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 287.278/287.948/288.870/0.637 ms
14/07/01-11:28:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 285.781/286.898/287.557/0.744 ms
14/07/01-11:29:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 283.300/286.717/288.866/1.986 ms
14/07/01-11:31:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.325/287.457/288.953/1.178 ms
14/07/01-11:33:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.235/287.235/287.751/0.856 ms
14/07/01-11:34:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.746/288.218/295.094/3.478 ms
14/07/01-11:36:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.248/287.574/288.939/1.256 ms
14/07/01-11:38:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.081/287.520/292.620/2.676 ms
14/07/01-11:39:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.288/288.821/295.082/3.207 ms
14/07/01-11:41:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 286.264/287.162/287.728/0.761 ms
14/07/01-11:43:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 286.569/287.310/287.782/0.790 ms
14/07/01-11:44:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.253/287.388/287.776/0.576 ms
14/07/01-11:46:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.725/286.915/287.576/0.784 ms
14/07/01-11:48:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.795/287.575/288.524/0.566 ms
14/07/01-11:49:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.339/286.483/287.728/0.899 ms
14/07/01-11:51:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.405/286.824/287.786/1.193 ms
