14/07/01-10:50:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.924/180.988/181.032/0.035 ms
14/07/01-10:52:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.795/180.893/181.007/0.471 ms
14/07/01-10:53:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.866/180.899/180.950/0.029 ms
14/07/01-10:55:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.842/180.926/181.036/0.388 ms
14/07/01-10:57:06 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 180.744/180.836/180.878/0.428 ms
14/07/01-10:58:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.919/180.991/181.067/0.047 ms
14/07/01-11:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.837/180.889/180.924/0.466 ms
14/07/01-11:02:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.840/180.889/180.937/0.467 ms
14/07/01-11:03:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.853/180.861/180.886/0.269 ms
14/07/01-11:05:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.843/180.901/181.000/0.540 ms
14/07/01-11:07:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 180.805/180.927/181.038/0.543 ms
14/07/01-11:08:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.801/180.894/180.983/0.541 ms
14/07/01-11:10:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.828/180.951/181.038/0.077 ms
14/07/01-11:12:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.806/180.892/181.035/0.472 ms
14/07/01-11:13:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.840/180.984/181.267/0.154 ms
14/07/01-11:15:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.854/180.977/181.095/0.544 ms
14/07/01-11:17:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.852/180.889/180.914/0.023 ms
14/07/01-11:18:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.859/180.979/181.201/0.297 ms
14/07/01-11:20:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.843/180.907/180.994/0.471 ms
14/07/01-11:22:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.873/181.000/181.057/0.276 ms
14/07/01-11:23:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.874/181.172/182.306/0.734 ms
14/07/01-11:25:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.863/180.930/181.011/0.060 ms
14/07/01-11:27:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.863/180.912/180.997/0.540 ms
14/07/01-11:28:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.826/180.949/181.071/0.473 ms
14/07/01-11:30:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.853/180.874/180.892/0.014 ms
14/07/01-11:32:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.825/180.911/180.999/0.058 ms
14/07/01-11:33:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.834/181.003/181.287/0.312 ms
14/07/01-11:35:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.858/180.995/181.079/0.073 ms
