14/07/01-10:49:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 293.737/294.415/295.107/0.506 ms
14/07/01-10:51:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.804/294.190/294.625/0.597 ms
14/07/01-10:52:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.754/294.422/295.172/0.696 ms
14/07/01-10:54:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 293.950/294.461/295.171/0.455 ms
14/07/01-10:56:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.334/295.941/298.092/1.479 ms
14/07/01-10:57:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 297.200/303.858/310.785/5.097 ms
14/07/01-10:59:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 310.855/313.642/315.709/1.880 ms
14/07/01-11:01:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 328.023/329.882/333.017/1.794 ms
14/07/01-11:02:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 321.411/329.058/333.762/4.351 ms
14/07/01-11:04:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 320.248/336.258/360.282/18.514 ms
14/07/01-11:06:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 344.910/348.843/352.313/2.582 ms
14/07/01-11:07:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 365.911/370.807/377.318/4.078 ms
14/07/01-11:09:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 375.506/381.628/386.898/4.193 ms
14/07/01-11:11:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.748/294.155/294.639/0.705 ms
14/07/01-11:12:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.770/294.956/296.736/1.109 ms
14/07/01-11:14:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 302.813/310.619/319.794/5.501 ms
14/07/01-11:16:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.770/294.505/295.343/0.709 ms
14/07/01-11:17:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 294.132/294.527/294.680/0.628 ms
14/07/01-11:19:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.702/294.734/296.723/1.071 ms
14/07/01-11:21:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.614/294.446/296.707/1.361 ms
14/07/01-11:22:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.006/346.334/367.092/13.167 ms
14/07/01-11:24:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.806/295.013/296.977/1.242 ms
14/07/01-11:26:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 293.767/293.963/294.449/0.429 ms
14/07/01-11:27:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.628/293.791/294.024/0.129 ms
14/07/01-11:29:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 293.660/294.104/295.566/0.942 ms
14/07/01-11:31:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 313.238/320.720/325.058/4.374 ms
14/07/01-11:32:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.836/294.262/294.782/0.360 ms
14/07/01-11:34:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.839/294.642/296.974/1.321 ms
14/07/01-11:36:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.925/295.625/299.359/1.990 ms
14/07/01-11:37:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.664/293.851/294.275/0.721 ms
14/07/01-11:39:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 293.776/294.220/294.711/0.633 ms
14/07/01-11:41:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 317.506/338.877/375.101/19.926 ms
14/07/01-11:42:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.684/294.237/295.246/0.751 ms
14/07/01-11:44:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.902/294.382/294.770/0.766 ms
14/07/01-11:46:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.818/294.278/294.626/0.504 ms
14/07/01-11:48:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 293.879/294.560/296.634/1.148 ms
14/07/01-11:49:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 297.234/301.663/306.780/3.233 ms
14/07/01-11:51:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.086/295.112/297.895/1.409 ms
14/07/01-11:53:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.772/294.133/294.510/0.757 ms
14/07/01-11:54:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.673/294.304/294.903/0.668 ms
14/07/01-11:56:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 293.657/294.041/294.570/0.378 ms
14/07/01-11:58:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 307.067/312.302/320.450/4.965 ms
14/07/01-11:59:53 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:01:43 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:03:33 - 5 packets transmitted, 0 received, 100% packet loss, time 3999ms
