14/07/01-10:50:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.102/234.284/234.375/0.097 ms
14/07/01-10:51:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.114/234.447/234.888/0.253 ms
14/07/01-10:53:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 233.998/234.140/234.346/0.330 ms
14/07/01-10:55:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.272/234.311/234.424/0.615 ms
14/07/01-10:57:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.163/234.284/234.388/0.537 ms
14/07/01-10:58:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.153/234.242/234.491/0.330 ms
14/07/01-11:00:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 234.219/234.260/234.352/0.047 ms
14/07/01-11:02:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.347/234.468/234.585/0.619 ms
14/07/01-11:03:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.134/234.316/234.549/0.334 ms
14/07/01-11:05:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.078/234.303/234.412/0.328 ms
14/07/01-11:07:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.133/234.808/236.736/1.069 ms
14/07/01-11:08:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.169/234.302/234.437/0.541 ms
14/07/01-11:10:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.075/234.228/234.457/0.626 ms
14/07/01-11:12:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 234.381/235.053/237.125/1.129 ms
14/07/01-11:13:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 234.147/234.492/235.479/0.501 ms
14/07/01-11:15:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.170/234.252/234.322/0.051 ms
14/07/01-11:17:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 234.189/234.660/235.851/0.806 ms
