14/07/01-10:50:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.533/171.629/171.768/0.275 ms
14/07/01-10:51:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.524/171.843/172.542/0.640 ms
14/07/01-10:53:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.599/171.648/171.741/0.456 ms
14/07/01-10:55:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.580/171.632/171.716/0.266 ms
14/07/01-10:56:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.534/171.773/172.590/0.409 ms
14/07/01-10:58:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.564/171.625/171.687/0.372 ms
14/07/01-11:00:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.611/171.650/171.723/0.265 ms
14/07/01-11:01:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.538/171.574/171.602/0.454 ms
14/07/01-11:03:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.602/171.667/171.762/0.376 ms
14/07/01-11:05:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.545/171.617/171.641/0.264 ms
14/07/01-11:06:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.635/172.395/173.270/0.759 ms
14/07/01-11:08:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 171.561/171.614/171.660/0.033 ms
14/07/01-11:10:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.569/171.637/171.729/0.071 ms
14/07/01-11:12:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.582/171.682/171.783/0.273 ms
14/07/01-11:13:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.519/172.225/173.253/0.820 ms
14/07/01-11:15:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.546/171.624/171.681/0.374 ms
14/07/01-11:17:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.628/172.516/175.362/1.450 ms
14/07/01-11:18:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 171.554/171.633/171.689/0.526 ms
14/07/01-11:20:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.584/171.680/171.773/0.060 ms
14/07/01-11:22:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 171.539/171.639/171.724/0.459 ms
14/07/01-11:23:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.557/171.610/171.727/0.268 ms
