14/07/01-10:48:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.486/265.564/265.652/0.332 ms
14/07/01-10:50:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 265.495/265.551/265.709/0.335 ms
14/07/01-10:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.500/265.611/265.730/0.571 ms
14/07/01-10:53:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 264.074/265.936/269.100/1.738 ms
14/07/01-10:55:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.499/265.657/266.175/0.417 ms
14/07/01-10:57:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.522/265.621/265.716/0.334 ms
14/07/01-10:58:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.503/265.532/265.565/0.461 ms
14/07/01-11:00:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.481/265.556/265.700/0.467 ms
14/07/01-11:02:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.509/265.650/265.978/0.674 ms
14/07/01-11:03:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 265.538/265.879/267.095/0.763 ms
14/07/01-11:05:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 265.482/265.583/265.670/0.655 ms
14/07/01-11:07:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 265.500/265.594/265.687/0.465 ms
14/07/01-11:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.510/265.564/265.629/0.040 ms
14/07/01-11:10:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.574/265.714/266.027/0.367 ms
14/07/01-11:12:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.568/265.823/266.203/0.697 ms
14/07/01-11:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.508/266.013/267.640/1.045 ms
14/07/01-11:15:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.503/265.545/265.593/0.652 ms
14/07/01-11:17:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 265.349/265.536/265.640/0.341 ms
14/07/01-11:19:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.499/265.568/265.673/0.066 ms
14/07/01-11:20:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.501/265.622/265.813/0.576 ms
14/07/01-11:22:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.465/265.623/265.763/0.661 ms
14/07/01-11:24:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.509/265.565/265.648/0.061 ms
14/07/01-11:25:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 265.496/265.543/265.611/0.462 ms
14/07/01-11:27:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.557/265.578/265.642/0.327 ms
14/07/01-11:29:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.192/265.525/265.636/0.167 ms
14/07/01-11:30:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 265.501/265.587/265.680/0.060 ms
14/07/01-11:32:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.493/265.578/265.685/0.569 ms
14/07/01-11:34:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 263.986/265.219/265.569/0.697 ms
14/07/01-11:35:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.478/265.535/265.632/0.330 ms
14/07/01-11:37:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.515/265.580/265.675/0.567 ms
14/07/01-11:39:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.494/265.635/266.002/0.678 ms
14/07/01-11:40:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 264.023/265.306/265.678/0.642 ms
14/07/01-11:42:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.526/265.544/265.594/0.565 ms
14/07/01-11:44:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 263.893/265.211/265.616/0.927 ms
14/07/01-11:45:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.513/265.608/265.678/0.060 ms
14/07/01-11:47:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.519/265.597/265.665/0.465 ms
14/07/01-11:49:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 265.477/265.591/265.683/0.335 ms
14/07/01-11:50:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 264.000/265.294/265.646/0.859 ms
14/07/01-11:52:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.547/265.601/265.702/0.330 ms
14/07/01-11:54:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.294/265.500/265.563/0.574 ms
14/07/01-11:55:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.525/265.595/265.753/0.570 ms
14/07/01-11:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 263.952/265.358/265.768/0.960 ms
14/07/01-11:59:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.508/265.555/265.591/0.031 ms
14/07/01-12:01:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 264.062/265.305/265.692/0.704 ms
14/07/01-12:02:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 264.018/265.240/265.650/0.694 ms
