14/07/01-10:49:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 476.067/476.936/477.891/0.605 ms
14/07/01-10:51:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 476.168/477.175/478.829/1.047 ms
14/07/01-10:53:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 475.626/476.325/477.010/0.894 ms
14/07/01-10:54:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 475.679/477.064/478.432/1.211 ms
14/07/01-10:56:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 478.701/479.472/480.617/0.817 ms
14/07/01-10:58:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 478.759/479.048/479.320/0.780 ms
14/07/01-10:59:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.771/479.042/479.271/0.202 ms
14/07/01-11:01:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.068/479.879/481.877/1.102 ms
14/07/01-11:03:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 474.899/475.542/476.647/0.912 ms
14/07/01-11:04:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 475.434/476.042/476.467/0.951 ms
14/07/01-11:06:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 478.230/478.880/479.978/0.974 ms
14/07/01-11:08:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 478.077/478.598/479.170/0.773 ms
14/07/01-11:09:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 478.812/479.753/480.703/0.881 ms
14/07/01-11:11:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 478.380/479.527/482.609/1.675 ms
14/07/01-11:13:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.718/479.567/480.559/0.636 ms
14/07/01-11:14:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.039/479.611/481.358/1.074 ms
14/07/01-11:16:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 479.092/480.255/482.028/1.396 ms
14/07/01-11:18:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 478.719/479.559/481.081/1.045 ms
