14/07/01-10:52:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.141/295.073/297.133/1.227 ms
14/07/01-10:54:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.043/295.740/298.988/1.899 ms
14/07/01-10:56:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.897/295.055/296.656/1.259 ms
14/07/01-10:57:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.051/287.363/294.253/5.690 ms
14/07/01-10:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.055/290.491/296.687/6.166 ms
14/07/01-11:00:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 294.079/296.032/296.760/1.155 ms
14/07/01-11:02:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.182/295.837/296.617/0.958 ms
14/07/01-11:04:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.058/292.138/295.023/5.072 ms
14/07/01-11:05:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.275/294.877/296.281/0.750 ms
14/07/01-11:07:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.815/293.313/296.831/5.801 ms
14/07/01-11:09:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 284.119/294.113/299.102/5.254 ms
14/07/01-11:10:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.404/296.251/298.841/1.572 ms
14/07/01-11:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 281.974/292.390/296.128/5.249 ms
14/07/01-11:14:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 281.877/289.840/296.416/6.490 ms
14/07/01-11:15:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 294.206/295.338/296.610/1.121 ms
14/07/01-11:17:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.620/290.072/296.624/6.844 ms
14/07/01-11:19:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 281.804/292.664/296.443/5.542 ms
14/07/01-11:20:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.867/292.215/296.643/5.284 ms
14/07/01-11:22:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.017/294.629/296.240/0.952 ms
14/07/01-11:24:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.067/292.521/296.277/5.274 ms
14/07/01-11:25:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 281.755/292.155/295.228/5.219 ms
14/07/01-11:27:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.932/292.428/296.759/5.355 ms
14/07/01-11:28:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.719/293.064/296.654/5.749 ms
14/07/01-11:30:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.743/292.240/296.801/5.354 ms
