14/07/01-10:53:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.266/389.013/389.972/1.545 ms
14/07/01-10:54:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 386.309/389.085/389.849/1.497 ms
14/07/01-10:56:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 389.377/389.584/389.821/0.434 ms
14/07/01-10:57:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 389.408/389.725/390.026/0.619 ms
14/07/01-10:59:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.333/388.876/389.788/1.339 ms
14/07/01-11:01:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.319/388.268/389.748/1.711 ms
14/07/01-11:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 389.418/389.496/389.682/0.795 ms
14/07/01-11:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.392/388.931/389.872/1.450 ms
14/07/01-11:06:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 387.762/390.138/391.505/1.517 ms
14/07/01-11:07:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.327/388.344/389.846/1.778 ms
14/07/01-11:09:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.252/388.336/389.776/1.821 ms
14/07/01-11:11:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.302/387.713/389.786/1.863 ms
14/07/01-11:12:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.356/389.050/389.863/1.351 ms
14/07/01-11:14:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.342/387.667/389.823/1.745 ms
14/07/01-11:16:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 386.238/387.680/389.813/1.823 ms
14/07/01-11:17:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.330/388.352/389.843/1.743 ms
14/07/01-11:19:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.357/389.035/389.841/1.349 ms
14/07/01-11:21:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.321/387.662/389.799/1.681 ms
14/07/01-11:22:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.357/388.305/389.862/1.740 ms
14/07/01-11:24:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.291/387.769/389.942/1.829 ms
14/07/01-11:25:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.290/386.961/389.403/1.283 ms
14/07/01-11:27:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.401/388.958/389.803/1.402 ms
14/07/01-11:29:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.284/389.045/389.922/1.601 ms
14/07/01-11:30:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.348/388.862/391.277/2.244 ms
14/07/01-11:32:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.194/389.047/390.028/1.594 ms
14/07/01-11:34:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.271/388.350/389.925/1.851 ms
14/07/01-11:35:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.232/388.362/389.982/1.763 ms
14/07/01-11:37:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.314/387.729/390.006/1.805 ms
14/07/01-11:39:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.304/388.060/389.778/1.626 ms
14/07/01-11:40:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 389.390/389.635/389.814/0.704 ms
14/07/01-11:42:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.287/388.344/390.327/1.705 ms
14/07/01-11:44:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.260/388.365/389.855/1.673 ms
14/07/01-11:45:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 389.426/389.546/389.835/0.151 ms
14/07/01-11:47:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.431/388.374/389.975/1.672 ms
14/07/01-11:48:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 389.540/389.778/390.100/0.189 ms
14/07/01-11:50:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.594/389.037/389.992/1.474 ms
14/07/01-11:52:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 389.384/389.910/390.580/0.383 ms
14/07/01-11:53:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.304/389.002/389.903/1.572 ms
14/07/01-11:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.336/388.383/389.899/1.739 ms
14/07/01-11:57:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 389.405/389.739/390.051/0.736 ms
14/07/01-11:58:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.471/387.988/389.771/1.455 ms
14/07/01-12:00:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.440/389.423/391.247/1.703 ms
14/07/01-12:02:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.349/387.661/389.582/1.496 ms
14/07/01-12:04:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.206/388.286/389.817/1.831 ms
14/07/01-12:06:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.495/389.039/389.915/1.347 ms
14/07/01-12:07:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.262/389.025/389.923/1.599 ms
14/07/01-12:09:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 386.299/388.927/389.877/1.380 ms
14/07/01-12:11:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 386.269/388.351/389.923/1.730 ms
14/07/01-12:13:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.323/388.843/389.576/1.261 ms
14/07/01-12:14:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 389.373/389.694/389.892/0.712 ms
14/07/01-12:16:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.397/388.539/389.899/1.684 ms
14/07/01-12:18:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.260/387.622/389.653/1.622 ms
14/07/01-12:20:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 389.435/389.697/390.139/0.249 ms
14/07/01-12:22:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.325/387.684/389.785/1.724 ms
14/07/01-12:23:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.360/389.038/390.049/1.519 ms
14/07/01-12:25:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.306/389.073/390.421/1.636 ms
14/07/01-12:27:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.314/388.909/389.909/1.424 ms
14/07/01-12:29:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.287/388.319/389.867/1.834 ms
14/07/01-12:31:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.395/387.801/389.850/1.518 ms
14/07/01-12:32:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.272/388.924/389.785/1.495 ms
14/07/01-12:34:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.348/389.532/392.246/1.963 ms
14/07/01-12:36:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.253/387.656/389.794/1.754 ms
14/07/01-12:38:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 386.273/387.583/389.412/1.535 ms
14/07/01-12:40:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 389.456/389.764/389.923/0.427 ms
14/07/01-12:41:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.320/388.833/390.742/1.557 ms
14/07/01-12:43:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.264/387.651/389.791/1.677 ms
14/07/01-12:45:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.309/388.343/389.858/1.664 ms
14/07/01-12:47:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.284/388.349/389.925/1.731 ms
14/07/01-12:49:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 386.323/389.150/389.910/1.468 ms
14/07/01-12:50:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.316/387.747/389.811/1.714 ms
14/07/01-12:52:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.334/388.359/389.947/1.660 ms
14/07/01-12:54:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.509/388.954/389.887/1.354 ms
14/07/01-12:56:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.312/388.335/389.809/1.812 ms
14/07/01-12:58:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.300/388.333/389.800/1.729 ms
14/07/01-13:00:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.320/388.287/389.804/1.700 ms
14/07/01-13:01:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.307/388.307/389.975/1.703 ms
14/07/01-13:03:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.282/388.408/389.815/1.675 ms
14/07/01-13:04:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.462/388.997/389.808/1.392 ms
14/07/01-13:06:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.362/388.911/389.883/1.402 ms
14/07/01-13:08:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.324/388.489/389.836/1.616 ms
14/07/01-13:09:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.298/388.937/389.812/1.496 ms
14/07/01-13:11:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.243/388.813/389.492/1.508 ms
14/07/01-13:13:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.529/389.094/389.881/1.462 ms
14/07/01-13:14:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.366/388.991/389.837/1.540 ms
14/07/01-13:16:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.306/388.994/389.883/1.409 ms
14/07/01-13:18:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.312/388.371/389.889/1.767 ms
14/07/01-13:19:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.256/388.351/389.845/1.867 ms
14/07/01-13:21:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.260/388.872/389.786/1.532 ms
14/07/01-13:23:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.332/388.339/389.767/1.777 ms
14/07/01-13:24:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.269/386.973/389.502/1.382 ms
14/07/01-13:26:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.265/387.717/389.848/1.884 ms
14/07/01-13:27:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.329/387.659/389.515/1.472 ms
14/07/01-13:29:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.365/388.365/389.864/1.760 ms
14/07/01-13:31:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.526/389.026/389.881/1.381 ms
14/07/01-13:32:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 389.400/389.869/390.410/0.852 ms
14/07/01-13:34:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.296/388.232/389.536/1.736 ms
14/07/01-13:36:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.444/387.756/389.819/1.742 ms
14/07/01-13:37:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.392/388.964/389.827/1.357 ms
14/07/01-13:39:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.346/389.173/390.741/1.540 ms
14/07/01-13:41:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.288/387.577/389.483/1.549 ms
14/07/01-13:42:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.314/386.979/389.470/1.364 ms
14/07/01-13:44:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 386.254/388.940/389.863/1.408 ms
14/07/01-13:46:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.341/389.048/390.312/1.395 ms
14/07/01-13:47:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 389.412/389.623/389.899/0.195 ms
14/07/01-13:49:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.308/388.293/389.947/1.660 ms
14/07/01-13:50:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.472/389.070/389.876/1.525 ms
14/07/01-13:52:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.363/389.024/390.161/1.574 ms
14/07/01-13:54:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 389.356/389.594/389.965/0.232 ms
14/07/01-13:55:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.282/388.350/389.956/1.733 ms
14/07/01-13:57:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.348/388.363/389.855/1.636 ms
14/07/01-13:59:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.287/387.559/389.467/1.662 ms
