14/07/01-10:52:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 62.427/62.504/62.584/0.279 ms
14/07/01-10:53:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 62.391/62.451/62.574/0.322 ms
14/07/01-10:55:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 62.439/62.481/62.537/0.317 ms
14/07/01-10:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 62.447/62.504/62.530/0.225 ms
14/07/01-10:58:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 62.440/62.474/62.517/0.317 ms
14/07/01-11:00:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 62.357/62.427/62.556/0.234 ms
14/07/01-11:02:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 62.392/62.485/62.519/0.277 ms
14/07/01-11:03:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 62.474/62.505/62.544/0.023 ms
14/07/01-11:05:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 62.373/62.516/62.854/0.284 ms
14/07/01-11:07:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 62.418/62.484/62.540/0.319 ms
14/07/01-11:08:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 62.406/62.460/62.530/0.041 ms
14/07/01-11:10:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 62.392/62.444/62.489/0.226 ms
14/07/01-11:11:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 62.412/62.450/62.526/0.276 ms
14/07/01-11:13:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 62.484/62.527/62.584/0.162 ms
14/07/01-11:15:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 62.347/62.511/62.626/0.329 ms
14/07/01-11:16:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 62.428/62.463/62.498/0.274 ms
14/07/01-11:18:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 62.371/62.393/62.424/0.316 ms
14/07/01-11:20:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 62.379/62.453/62.547/0.323 ms
14/07/01-11:21:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 62.400/62.440/62.494/0.035 ms
