14/07/01-10:53:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 136.990/137.297/137.446/0.442 ms
14/07/01-10:55:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 137.004/137.201/137.474/0.371 ms
14/07/01-10:56:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 136.944/137.139/137.524/0.515 ms
14/07/01-10:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 136.898/137.296/137.823/0.505 ms
14/07/01-10:59:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 136.993/137.160/137.466/0.371 ms
14/07/01-11:01:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 137.241/137.559/138.193/0.498 ms
14/07/01-11:03:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.041/137.241/137.518/0.180 ms
14/07/01-11:04:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 136.919/137.231/137.515/0.515 ms
14/07/01-11:06:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 137.161/137.404/138.062/0.410 ms
14/07/01-11:08:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.008/137.223/137.684/0.414 ms
14/07/01-11:09:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 136.976/137.201/137.605/0.319 ms
14/07/01-11:11:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 136.958/137.186/137.531/0.209 ms
14/07/01-11:13:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 136.817/137.208/137.877/0.563 ms
14/07/01-11:14:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 136.926/137.055/137.207/0.353 ms
14/07/01-11:16:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 136.994/137.243/137.711/0.251 ms
14/07/01-11:18:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 137.007/137.294/137.436/0.281 ms
14/07/01-11:19:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 136.940/137.165/137.552/0.411 ms
14/07/01-11:21:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 136.870/137.040/137.193/0.423 ms
14/07/01-11:23:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 137.196/137.260/137.310/0.470 ms
14/07/01-11:24:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 136.970/137.211/137.585/0.469 ms
14/07/01-11:26:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 137.080/137.191/137.338/0.349 ms
14/07/01-11:27:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.036/137.332/137.614/0.469 ms
14/07/01-11:29:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.002/137.363/137.863/0.511 ms
14/07/01-11:31:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.320/137.450/137.602/0.345 ms
14/07/01-11:32:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 136.960/137.234/137.842/0.395 ms
14/07/01-11:34:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.113/137.442/137.537/0.438 ms
14/07/01-11:36:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 136.951/137.206/137.403/0.378 ms
14/07/01-11:37:50 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 137.081/137.412/137.937/0.320 ms
14/07/01-11:39:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 137.007/137.203/137.309/0.255 ms
14/07/01-11:41:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 136.918/137.636/139.781/1.103 ms
14/07/01-11:42:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 137.009/137.357/137.766/0.337 ms
14/07/01-11:44:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.010/137.279/137.490/0.496 ms
14/07/01-11:46:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 137.035/137.327/137.650/0.204 ms
14/07/01-11:47:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 137.022/137.244/137.749/0.260 ms
14/07/01-11:49:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 136.973/137.204/137.413/0.369 ms
14/07/01-11:50:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.085/137.397/137.684/0.516 ms
14/07/01-11:52:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 137.094/137.405/137.885/0.550 ms
14/07/01-11:54:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.459/137.598/137.674/0.072 ms
14/07/01-11:55:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.492/137.649/137.992/0.446 ms
14/07/01-11:57:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.308/137.461/137.762/0.434 ms
14/07/01-11:59:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 137.082/137.365/137.769/0.521 ms
