14/07/01-10:52:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.413/47.468/47.498/0.029 ms
14/07/01-10:54:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 47.407/47.431/47.474/0.239 ms
14/07/01-10:55:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.436/47.489/47.617/0.284 ms
14/07/01-10:57:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.445/47.494/47.527/0.028 ms
14/07/01-10:59:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.454/47.527/47.635/0.150 ms
14/07/01-11:00:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.390/47.469/47.539/0.279 ms
14/07/01-11:02:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.426/47.497/47.573/0.243 ms
14/07/01-11:04:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 47.452/47.514/47.600/0.146 ms
14/07/01-11:05:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.436/47.525/47.663/0.212 ms
14/07/01-11:07:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 47.438/47.483/47.557/0.144 ms
14/07/01-11:08:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.395/47.470/47.570/0.149 ms
14/07/01-11:10:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.425/47.668/48.529/0.493 ms
14/07/01-11:12:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.382/47.451/47.514/0.280 ms
14/07/01-11:13:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.350/47.430/47.491/0.200 ms
14/07/01-11:15:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 47.452/47.491/47.521/0.240 ms
14/07/01-11:17:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.468/47.489/47.502/0.195 ms
14/07/01-11:18:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.452/47.467/47.498/0.016 ms
14/07/01-11:20:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.473/47.547/47.757/0.221 ms
14/07/01-11:22:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 47.422/47.540/47.675/0.217 ms
14/07/01-11:23:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.409/47.703/48.426/0.383 ms
14/07/01-11:25:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.414/47.527/47.729/0.263 ms
14/07/01-11:27:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.400/47.526/47.781/0.305 ms
14/07/01-11:28:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 47.426/47.498/47.538/0.278 ms
14/07/01-11:30:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.404/47.450/47.510/0.041 ms
