14/07/01-10:52:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.879/229.069/229.428/0.205 ms
14/07/01-10:54:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 229.013/229.833/231.453/1.032 ms
14/07/01-10:56:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.053/229.968/231.497/1.004 ms
14/07/01-10:57:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.938/229.129/229.338/0.152 ms
14/07/01-10:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.873/230.024/231.484/1.230 ms
14/07/01-11:01:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.787/229.058/229.613/0.598 ms
14/07/01-11:02:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.839/229.147/229.601/0.265 ms
14/07/01-11:04:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.959/229.120/229.214/0.314 ms
14/07/01-11:06:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.706/229.074/229.416/0.423 ms
14/07/01-11:07:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 228.995/229.804/231.642/1.129 ms
14/07/01-11:09:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.840/229.152/229.353/0.640 ms
14/07/01-11:10:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.880/229.716/231.469/0.980 ms
14/07/01-11:12:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.091/229.255/229.449/0.618 ms
14/07/01-11:14:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 229.156/230.171/231.733/1.274 ms
14/07/01-11:15:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.822/228.931/229.034/0.529 ms
14/07/01-11:17:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.230/230.228/231.609/1.179 ms
14/07/01-11:19:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.918/230.221/231.553/1.168 ms
14/07/01-11:20:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 229.397/230.258/231.508/1.014 ms
14/07/01-11:22:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 229.083/229.188/229.502/0.548 ms
14/07/01-11:24:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.808/230.149/231.736/1.358 ms
14/07/01-11:25:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.909/229.173/229.321/0.335 ms
14/07/01-11:27:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.774/230.076/231.478/1.289 ms
14/07/01-11:29:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.842/229.013/229.171/0.620 ms
14/07/01-11:30:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.884/229.173/229.409/0.350 ms
14/07/01-11:32:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 229.278/230.417/231.659/1.093 ms
14/07/01-11:34:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.847/228.981/229.149/0.618 ms
14/07/01-11:35:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.992/229.197/229.729/0.592 ms
14/07/01-11:37:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.728/229.460/231.349/0.959 ms
14/07/01-11:38:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.904/229.067/229.272/0.446 ms
14/07/01-11:40:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.884/229.008/229.243/0.618 ms
14/07/01-11:42:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 228.792/229.678/231.493/1.073 ms
14/07/01-11:43:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 229.233/229.866/231.551/0.859 ms
14/07/01-11:45:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.929/229.378/229.779/0.528 ms
14/07/01-11:47:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.851/229.188/229.456/0.359 ms
14/07/01-11:48:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.944/229.400/229.683/0.257 ms
14/07/01-11:50:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 228.979/229.501/230.571/0.788 ms
14/07/01-11:52:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.938/229.631/232.067/1.257 ms
14/07/01-11:53:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.086/229.762/231.819/1.162 ms
14/07/01-11:55:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.936/229.170/229.491/0.367 ms
14/07/01-11:57:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.748/229.003/229.394/0.484 ms
14/07/01-11:58:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.863/229.673/231.619/1.107 ms
14/07/01-12:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.834/229.600/231.447/1.116 ms
14/07/01-12:02:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.884/229.764/231.582/1.141 ms
14/07/01-12:04:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.786/230.005/231.557/1.329 ms
14/07/01-12:05:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.925/229.172/229.717/0.599 ms
14/07/01-12:07:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 229.055/230.174/231.558/1.244 ms
14/07/01-12:09:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.946/229.238/229.715/0.409 ms
14/07/01-12:11:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.841/228.972/229.167/0.109 ms
14/07/01-12:12:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.810/229.697/231.623/1.098 ms
14/07/01-12:14:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.031/229.819/231.594/0.912 ms
14/07/01-12:16:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.887/229.568/231.654/1.210 ms
14/07/01-12:18:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.778/229.111/229.454/0.393 ms
14/07/01-12:20:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.814/229.647/231.469/1.076 ms
14/07/01-12:21:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.986/230.131/231.678/1.380 ms
14/07/01-12:23:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.958/229.661/231.555/1.016 ms
14/07/01-12:25:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.069/229.338/229.815/0.593 ms
14/07/01-12:27:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.969/229.561/231.499/0.976 ms
14/07/01-12:29:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.831/229.695/231.622/1.160 ms
14/07/01-12:30:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.985/230.033/231.478/1.217 ms
14/07/01-12:32:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.791/229.957/231.794/1.470 ms
14/07/01-12:34:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.945/230.200/231.642/1.277 ms
14/07/01-12:36:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 229.169/230.054/231.900/1.044 ms
14/07/01-12:38:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.904/230.151/231.835/1.413 ms
14/07/01-12:39:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.808/230.072/231.514/1.297 ms
14/07/01-12:41:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.941/229.700/231.536/1.113 ms
14/07/01-12:43:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.877/230.103/231.444/1.200 ms
