14/07/01-10:53:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.012/257.108/257.346/0.652 ms
14/07/01-10:54:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.045/255.508/264.459/5.799 ms
14/07/01-10:56:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 254.760/256.664/257.366/1.011 ms
14/07/01-10:58:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.923/253.646/264.529/6.103 ms
14/07/01-10:59:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.018/257.475/258.499/0.701 ms
14/07/01-11:01:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.975/255.305/257.349/3.694 ms
14/07/01-11:03:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.050/255.021/257.061/4.037 ms
14/07/01-11:04:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 246.837/252.240/257.084/4.152 ms
14/07/01-11:06:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.721/252.292/257.340/4.100 ms
14/07/01-11:08:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.056/252.576/257.043/3.740 ms
14/07/01-11:09:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.601/255.155/257.066/3.790 ms
14/07/01-11:11:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 250.876/255.893/257.389/2.518 ms
14/07/01-11:12:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.619/257.193/265.175/5.637 ms
14/07/01-11:14:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.609/253.605/257.361/4.358 ms
14/07/01-11:16:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.050/257.426/265.245/5.247 ms
14/07/01-11:17:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.025/254.339/257.461/4.102 ms
14/07/01-11:19:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.629/253.477/258.473/4.380 ms
14/07/01-11:21:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 257.060/257.757/258.751/0.790 ms
14/07/01-11:22:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.414/254.999/258.406/2.991 ms
14/07/01-11:24:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 252.691/256.670/259.462/2.241 ms
14/07/01-11:26:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.911/254.486/257.367/3.790 ms
14/07/01-11:27:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 254.776/257.050/258.723/1.355 ms
14/07/01-11:29:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.010/253.888/257.447/4.449 ms
14/07/01-11:31:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 246.622/253.584/257.087/4.424 ms
14/07/01-11:32:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.639/255.123/257.440/3.798 ms
14/07/01-11:34:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.464/255.422/257.341/3.058 ms
14/07/01-11:35:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 246.574/254.348/265.194/7.076 ms
14/07/01-11:37:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 248.132/256.788/265.216/5.486 ms
14/07/01-11:39:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 250.230/256.378/264.433/4.860 ms
14/07/01-11:40:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 246.585/252.345/257.046/3.923 ms
14/07/01-11:42:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.007/254.420/257.041/3.833 ms
14/07/01-11:44:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 250.806/255.414/260.205/3.653 ms
14/07/01-11:45:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.681/254.166/257.131/3.629 ms
14/07/01-11:47:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.725/256.278/258.393/1.941 ms
14/07/01-11:49:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.035/253.759/257.175/4.153 ms
14/07/01-11:50:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.651/253.279/257.352/3.978 ms
14/07/01-11:52:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.018/254.227/257.086/3.766 ms
14/07/01-11:54:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.994/257.140/257.346/0.138 ms
14/07/01-11:55:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 246.825/255.514/258.720/4.386 ms
14/07/01-11:57:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.659/255.237/257.362/3.844 ms
14/07/01-11:59:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.462/255.953/259.425/3.470 ms
14/07/01-12:00:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.011/255.441/259.475/4.481 ms
14/07/01-12:02:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.070/257.341/265.164/5.156 ms
14/07/01-12:04:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.926/252.619/257.417/4.212 ms
14/07/01-12:06:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 250.519/260.007/265.230/5.392 ms
14/07/01-12:08:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.124/254.271/257.324/3.996 ms
14/07/01-12:09:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 250.391/255.735/257.115/2.691 ms
14/07/01-12:11:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.712/256.744/259.518/2.261 ms
14/07/01-12:13:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.247/257.332/259.911/1.387 ms
14/07/01-12:14:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.139/255.687/257.125/2.774 ms
14/07/01-12:16:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.940/255.610/257.941/3.854 ms
14/07/01-12:18:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.642/254.881/257.364/3.665 ms
14/07/01-12:20:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 254.802/258.645/265.217/3.526 ms
14/07/01-12:22:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 246.598/254.781/257.092/4.120 ms
14/07/01-12:24:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.060/257.463/258.396/0.803 ms
14/07/01-12:25:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.726/254.563/257.059/3.495 ms
14/07/01-12:27:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 255.213/256.396/257.346/1.015 ms
14/07/01-12:29:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.910/255.561/265.227/6.108 ms
14/07/01-12:31:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 246.633/253.698/257.384/4.418 ms
14/07/01-12:33:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.629/253.448/264.485/6.589 ms
14/07/01-12:34:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 250.223/255.226/257.065/2.690 ms
14/07/01-12:36:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.371/255.558/257.364/2.704 ms
14/07/01-12:38:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.084/255.721/257.344/2.839 ms
14/07/01-12:40:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.724/255.780/257.058/1.722 ms
14/07/01-12:42:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 246.636/252.040/257.758/4.725 ms
14/07/01-12:43:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.969/257.995/259.972/1.669 ms
14/07/01-12:45:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.044/257.185/257.400/0.362 ms
14/07/01-12:47:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 246.591/253.524/257.379/4.563 ms
14/07/01-12:49:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.686/252.529/257.100/4.133 ms
14/07/01-12:51:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.547/254.196/257.098/3.550 ms
14/07/01-12:52:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 246.651/253.818/259.547/5.313 ms
14/07/01-12:54:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.474/254.270/257.175/3.489 ms
14/07/01-12:56:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 246.583/254.755/257.705/4.176 ms
14/07/01-12:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.021/257.122/257.352/0.567 ms
14/07/01-13:00:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.591/252.523/258.565/4.463 ms
14/07/01-13:01:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 250.427/255.929/257.413/2.827 ms
14/07/01-13:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.030/253.696/265.193/6.137 ms
14/07/01-13:05:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.771/256.175/257.395/1.749 ms
