14/07/01-10:52:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 114.355/114.434/114.496/0.219 ms
14/07/01-10:54:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 114.382/114.459/114.574/0.076 ms
14/07/01-10:55:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 114.449/114.506/114.559/0.218 ms
14/07/01-10:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.426/114.492/114.572/0.307 ms
14/07/01-10:59:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.322/114.484/114.567/0.092 ms
14/07/01-11:00:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.426/114.485/114.562/0.218 ms
14/07/01-11:02:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 114.363/114.501/114.562/0.378 ms
14/07/01-11:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.457/114.545/114.635/0.308 ms
14/07/01-11:05:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 114.353/114.456/114.534/0.432 ms
14/07/01-11:07:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.461/114.518/114.570/0.372 ms
14/07/01-11:09:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 114.381/114.477/114.575/0.435 ms
14/07/01-11:10:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.376/114.453/114.548/0.432 ms
14/07/01-11:12:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.453/114.516/114.561/0.041 ms
14/07/01-11:14:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 114.401/114.496/114.564/0.375 ms
14/07/01-11:15:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.410/114.502/114.542/0.049 ms
14/07/01-11:17:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.374/114.494/114.615/0.316 ms
14/07/01-11:19:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.524/114.545/114.559/0.428 ms
14/07/01-11:20:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 114.389/114.494/114.608/0.233 ms
14/07/01-11:22:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.482/114.524/114.549/0.303 ms
14/07/01-11:23:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.407/114.495/114.554/0.307 ms
14/07/01-11:25:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 114.478/114.520/114.556/0.304 ms
14/07/01-11:27:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.414/114.501/114.563/0.220 ms
14/07/01-11:28:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 114.383/114.499/114.556/0.064 ms
14/07/01-11:30:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.348/114.472/114.569/0.438 ms
14/07/01-11:32:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 114.365/114.451/114.544/0.222 ms
14/07/01-11:33:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.464/114.522/114.552/0.033 ms
14/07/01-11:35:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 114.417/114.488/114.551/0.049 ms
14/07/01-11:37:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.405/114.497/114.648/0.231 ms
14/07/01-11:38:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.369/114.437/114.522/0.219 ms
14/07/01-11:40:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.444/114.508/114.561/0.372 ms
14/07/01-11:42:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.529/114.544/114.556/0.010 ms
14/07/01-11:43:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.403/114.460/114.543/0.222 ms
14/07/01-11:45:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.472/114.534/114.597/0.217 ms
14/07/01-11:46:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.443/114.506/114.599/0.433 ms
14/07/01-11:48:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.409/114.439/114.488/0.215 ms
14/07/01-11:50:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.468/114.561/114.648/0.221 ms
14/07/01-11:51:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.463/114.514/114.549/0.035 ms
14/07/01-11:53:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.462/114.513/114.547/0.030 ms
14/07/01-11:55:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.496/114.540/114.617/0.305 ms
14/07/01-11:56:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.451/114.537/114.675/0.228 ms
14/07/01-11:58:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.485/114.530/114.578/0.372 ms
14/07/01-12:00:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.508/114.527/114.552/0.303 ms
14/07/01-12:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.475/114.521/114.581/0.429 ms
14/07/01-12:03:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 114.360/114.528/114.653/0.383 ms
14/07/01-12:05:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.475/114.523/114.561/0.372 ms
14/07/01-12:07:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 114.525/114.576/114.632/0.036 ms
14/07/01-12:09:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.359/114.517/114.590/0.313 ms
14/07/01-12:11:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.357/114.506/114.604/0.438 ms
14/07/01-12:12:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.408/114.490/114.600/0.309 ms
14/07/01-12:14:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 114.393/114.473/114.582/0.225 ms
14/07/01-12:16:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.466/114.500/114.543/0.429 ms
14/07/01-12:18:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 114.369/114.423/114.474/0.372 ms
14/07/01-12:19:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 114.432/114.495/114.534/0.216 ms
14/07/01-12:21:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.431/114.502/114.591/0.062 ms
14/07/01-12:23:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.494/114.531/114.558/0.215 ms
14/07/01-12:25:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.457/114.525/114.584/0.044 ms
14/07/01-12:27:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.464/114.515/114.572/0.043 ms
14/07/01-12:28:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 114.377/114.482/114.618/0.312 ms
14/07/01-12:30:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.442/114.553/114.659/0.379 ms
14/07/01-12:32:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 114.520/114.556/114.602/0.303 ms
14/07/01-12:34:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.510/114.538/114.583/0.303 ms
14/07/01-12:36:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.450/114.518/114.586/0.306 ms
14/07/01-12:37:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.473/114.536/114.607/0.053 ms
14/07/01-12:39:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.393/114.495/114.617/0.377 ms
14/07/01-12:41:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 114.401/114.454/114.527/0.307 ms
14/07/01-12:43:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 114.377/114.502/114.585/0.434 ms
14/07/01-12:45:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 114.460/114.532/114.559/0.372 ms
14/07/01-12:47:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.389/114.484/114.551/0.432 ms
14/07/01-12:48:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 114.334/114.426/114.529/0.224 ms
14/07/01-12:50:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.327/114.468/114.586/0.314 ms
14/07/01-12:52:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.375/114.455/114.580/0.072 ms
14/07/01-12:54:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.439/114.517/114.571/0.430 ms
14/07/01-12:56:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.439/114.489/114.522/0.215 ms
14/07/01-12:57:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 114.467/114.488/114.506/0.303 ms
14/07/01-12:59:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.480/114.555/114.611/0.218 ms
14/07/01-13:01:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.347/114.505/114.576/0.229 ms
14/07/01-13:02:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.540/114.551/114.578/0.428 ms
14/07/01-13:04:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 114.497/114.533/114.576/0.429 ms
14/07/01-13:06:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.476/114.608/115.023/0.367 ms
14/07/01-13:07:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 114.418/114.510/114.575/0.374 ms
14/07/01-13:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.463/114.505/114.554/0.429 ms
14/07/01-13:11:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 114.366/114.486/114.560/0.376 ms
14/07/01-13:12:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.468/114.530/114.608/0.047 ms
14/07/01-13:14:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.438/114.501/114.565/0.219 ms
14/07/01-13:16:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.376/114.525/114.620/0.230 ms
14/07/01-13:17:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.397/114.532/114.664/0.436 ms
14/07/01-13:19:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.483/114.526/114.570/0.216 ms
14/07/01-13:21:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.388/114.490/114.566/0.224 ms
14/07/01-13:22:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.388/114.504/114.575/0.225 ms
14/07/01-13:24:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.501/114.529/114.596/0.035 ms
14/07/01-13:25:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.504/114.535/114.561/0.215 ms
14/07/01-13:27:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.423/114.509/114.593/0.066 ms
14/07/01-13:29:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.389/114.517/114.607/0.078 ms
14/07/01-13:30:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.336/114.498/114.584/0.380 ms
14/07/01-13:32:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.504/114.559/114.640/0.431 ms
14/07/01-13:34:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.369/114.484/114.566/0.225 ms
14/07/01-13:35:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 114.375/114.503/114.582/0.070 ms
14/07/01-13:37:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.470/114.533/114.601/0.430 ms
14/07/01-13:39:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.359/114.447/114.562/0.377 ms
14/07/01-13:40:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.457/114.553/114.656/0.433 ms
14/07/01-13:42:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 114.349/114.432/114.489/0.430 ms
14/07/01-13:44:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.434/114.503/114.594/0.309 ms
14/07/01-13:45:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.432/114.479/114.548/0.050 ms
14/07/01-13:47:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.519/114.537/114.581/0.303 ms
14/07/01-13:48:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 114.511/114.548/114.583/0.371 ms
14/07/01-13:50:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.396/114.473/114.576/0.221 ms
14/07/01-13:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 114.381/114.461/114.536/0.432 ms
14/07/01-13:53:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.460/114.527/114.624/0.059 ms
14/07/01-13:55:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 114.457/114.517/114.569/0.429 ms
14/07/01-13:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.479/114.528/114.561/0.304 ms
14/07/01-13:58:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.482/114.533/114.556/0.026 ms
14/07/01-14:00:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.444/114.492/114.576/0.430 ms
14/07/01-14:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.463/114.517/114.573/0.305 ms
14/07/01-14:03:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.492/114.536/114.585/0.216 ms
14/07/01-14:05:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.490/114.531/114.584/0.218 ms
14/07/01-14:07:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 114.424/114.554/114.625/0.434 ms
14/07/01-14:08:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 114.469/114.492/114.549/0.428 ms
