14/07/01-10:52:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.815/83.972/84.192/0.389 ms
14/07/01-10:53:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.909/83.985/84.043/0.370 ms
14/07/01-10:55:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.874/83.965/84.036/0.371 ms
14/07/01-10:57:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.805/83.856/83.900/0.185 ms
14/07/01-10:58:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 83.877/83.957/84.028/0.192 ms
14/07/01-11:00:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.965/84.022/84.058/0.368 ms
14/07/01-11:02:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.943/83.983/84.043/0.186 ms
14/07/01-11:03:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.862/83.928/84.052/0.325 ms
14/07/01-11:05:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.798/83.923/84.074/0.276 ms
14/07/01-11:07:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.825/83.922/84.024/0.202 ms
14/07/01-11:08:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.859/83.934/84.073/0.373 ms
14/07/01-11:10:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.817/83.972/84.112/0.332 ms
14/07/01-11:12:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.860/84.003/84.146/0.094 ms
14/07/01-11:13:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 83.779/83.885/83.952/0.266 ms
14/07/01-11:15:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.850/83.958/84.028/0.193 ms
14/07/01-11:17:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 83.835/83.896/83.970/0.049 ms
14/07/01-11:18:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.852/83.967/84.058/0.270 ms
14/07/01-11:20:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 83.814/83.971/84.085/0.206 ms
14/07/01-11:21:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.852/83.947/84.211/0.227 ms
14/07/01-11:23:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.939/83.986/84.035/0.319 ms
14/07/01-11:25:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.923/83.949/84.006/0.031 ms
14/07/01-11:26:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.856/83.937/84.078/0.326 ms
14/07/01-11:28:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.765/83.909/83.994/0.375 ms
14/07/01-11:30:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.829/83.902/83.980/0.265 ms
14/07/01-11:31:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.959/84.033/84.099/0.369 ms
14/07/01-11:33:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.777/83.949/84.117/0.116 ms
14/07/01-11:35:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.784/83.901/84.014/0.199 ms
14/07/01-11:36:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.856/83.989/84.102/0.328 ms
14/07/01-11:38:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.874/83.945/83.983/0.187 ms
