14/07/01-10:53:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 253.854/259.788/263.996/3.511 ms
14/07/01-10:54:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 252.499/254.857/257.264/1.622 ms
14/07/01-10:56:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 250.026/255.731/265.519/5.430 ms
14/07/01-10:58:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.714/257.548/265.427/6.009 ms
14/07/01-10:59:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.852/257.380/263.924/5.245 ms
14/07/01-11:01:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.011/256.765/264.888/4.906 ms
14/07/01-11:02:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 255.475/258.310/265.517/3.685 ms
14/07/01-11:04:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.588/257.185/267.319/5.632 ms
14/07/01-11:06:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 256.388/259.551/262.545/2.561 ms
14/07/01-11:07:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 254.779/257.512/265.526/4.089 ms
14/07/01-11:09:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.510/255.069/258.781/2.333 ms
14/07/01-11:11:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 252.202/255.913/263.367/4.111 ms
14/07/01-11:12:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.552/259.445/265.476/6.783 ms
14/07/01-11:14:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.020/254.462/258.728/2.997 ms
14/07/01-11:16:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.170/260.673/265.605/3.757 ms
14/07/01-11:17:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 251.210/254.299/257.731/2.557 ms
14/07/01-11:19:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 252.847/255.138/258.927/2.447 ms
14/07/01-11:21:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 254.842/257.182/262.034/2.602 ms
14/07/01-11:22:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.473/255.081/257.588/1.623 ms
14/07/01-11:24:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 251.268/255.298/260.864/3.120 ms
14/07/01-11:26:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 251.148/257.303/265.454/6.670 ms
14/07/01-11:27:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 254.624/258.561/261.586/2.706 ms
14/07/01-11:29:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.262/257.657/263.791/5.137 ms
14/07/01-11:30:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.729/259.083/264.932/4.831 ms
14/07/01-11:32:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 254.648/257.071/264.172/3.662 ms
14/07/01-11:34:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.243/255.977/261.624/3.149 ms
14/07/01-11:35:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.582/253.724/257.219/2.121 ms
14/07/01-11:37:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 253.381/257.754/267.861/5.440 ms
14/07/01-11:39:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.617/254.176/256.055/1.788 ms
14/07/01-11:40:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 254.975/258.693/262.367/2.925 ms
14/07/01-11:42:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 251.121/254.176/258.274/2.627 ms
14/07/01-11:44:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.622/255.012/261.575/3.629 ms
14/07/01-11:45:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.643/255.456/257.202/1.716 ms
14/07/01-11:47:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.098/256.053/263.985/4.338 ms
14/07/01-11:49:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 252.630/263.082/273.149/6.559 ms
14/07/01-11:50:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.653/255.069/260.696/3.715 ms
14/07/01-11:52:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 254.755/258.684/261.601/2.927 ms
14/07/01-11:54:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 251.377/255.951/264.172/4.360 ms
14/07/01-11:55:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.057/260.362/263.898/2.643 ms
14/07/01-11:57:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 255.188/256.466/258.242/1.181 ms
14/07/01-11:58:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 253.171/258.476/265.453/4.411 ms
14/07/01-12:00:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.473/254.832/258.039/2.393 ms
14/07/01-12:02:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.388/258.458/264.957/5.431 ms
14/07/01-12:04:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.093/253.021/255.496/1.896 ms
14/07/01-12:06:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 252.537/257.944/265.471/5.697 ms
14/07/01-12:07:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 252.815/254.486/255.726/1.048 ms
14/07/01-12:09:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 251.112/255.304/259.177/3.225 ms
14/07/01-12:11:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 255.054/262.373/265.694/3.982 ms
14/07/01-12:13:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 251.246/256.997/264.918/5.350 ms
14/07/01-12:14:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.035/254.920/257.252/2.554 ms
14/07/01-12:16:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.369/256.021/258.848/2.218 ms
14/07/01-12:18:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.087/255.201/260.954/3.989 ms
14/07/01-12:20:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.317/257.371/263.385/3.717 ms
14/07/01-12:22:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.249/255.677/261.603/3.479 ms
14/07/01-12:23:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.950/258.350/264.644/5.472 ms
14/07/01-12:25:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 249.013/255.776/264.115/5.975 ms
14/07/01-12:27:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.491/257.881/265.560/4.762 ms
14/07/01-12:29:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.263/253.638/256.339/2.052 ms
14/07/01-12:31:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.016/251.173/253.963/1.981 ms
14/07/01-12:32:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 258.657/260.887/264.100/2.050 ms
14/07/01-12:34:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.273/253.842/258.801/2.497 ms
14/07/01-12:36:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.580/254.676/264.894/5.523 ms
