14/07/01-10:53:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 285.727/288.249/292.710/2.454 ms
14/07/01-10:54:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.333/285.729/286.391/0.777 ms
14/07/01-10:56:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.335/287.684/292.340/2.566 ms
14/07/01-10:58:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 287.390/287.917/288.862/0.930 ms
14/07/01-10:59:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 285.739/287.264/287.745/1.024 ms
14/07/01-11:01:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.696/287.445/288.558/1.111 ms
14/07/01-11:03:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 284.515/286.534/287.662/1.393 ms
14/07/01-11:04:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.730/286.974/287.767/0.886 ms
14/07/01-11:06:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 286.539/287.406/287.752/0.819 ms
14/07/01-11:08:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.357/287.136/287.708/1.069 ms
14/07/01-11:09:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 285.353/286.833/288.473/1.294 ms
14/07/01-11:11:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.335/288.822/295.092/3.367 ms
14/07/01-11:13:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.250/287.064/288.475/0.891 ms
14/07/01-11:14:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.228/287.538/288.485/0.814 ms
14/07/01-11:16:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.252/287.200/288.535/0.793 ms
14/07/01-11:17:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.362/287.211/288.503/1.241 ms
14/07/01-11:19:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.729/287.168/287.712/0.937 ms
14/07/01-11:21:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.233/287.955/289.475/1.119 ms
14/07/01-11:22:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 285.703/286.627/287.774/0.920 ms
14/07/01-11:24:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.752/286.788/288.501/1.152 ms
14/07/01-11:26:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.859/287.675/289.849/1.445 ms
14/07/01-11:27:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 286.227/287.419/288.176/0.877 ms
14/07/01-11:29:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 287.564/287.934/288.882/0.831 ms
14/07/01-11:31:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.725/287.008/287.713/1.024 ms
14/07/01-11:32:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 286.203/287.185/287.489/0.599 ms
14/07/01-11:34:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.328/286.878/287.749/1.149 ms
14/07/01-11:36:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 286.225/287.309/288.532/0.891 ms
14/07/01-11:37:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 286.275/287.730/288.841/1.032 ms
14/07/01-11:39:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 285.086/286.152/287.526/1.242 ms
14/07/01-11:41:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 287.380/289.002/295.079/3.096 ms
14/07/01-11:42:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 287.298/287.808/288.856/0.731 ms
14/07/01-11:44:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 287.460/287.584/287.780/0.362 ms
14/07/01-11:45:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.322/288.950/292.322/2.757 ms
14/07/01-11:47:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.300/286.664/287.649/1.289 ms
14/07/01-11:49:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 285.747/287.058/287.710/0.843 ms
14/07/01-11:50:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 287.395/288.517/289.901/1.072 ms
14/07/01-11:52:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 285.316/286.902/288.506/1.179 ms
14/07/01-11:54:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.410/287.001/288.548/1.362 ms
14/07/01-11:55:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.749/287.073/287.427/0.947 ms
14/07/01-11:57:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 285.328/286.671/288.886/1.442 ms
14/07/01-11:59:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.314/286.716/287.774/1.274 ms
14/07/01-12:00:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.236/287.296/288.513/0.892 ms
14/07/01-12:02:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.338/287.086/287.752/1.072 ms
14/07/01-12:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.281/287.797/288.886/0.912 ms
14/07/01-12:06:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 287.294/287.768/288.508/0.790 ms
14/07/01-12:08:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.936/287.944/288.860/0.678 ms
14/07/01-12:09:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 285.708/286.937/287.777/1.135 ms
14/07/01-12:11:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 286.524/287.792/290.503/1.547 ms
14/07/01-12:13:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 287.584/288.634/290.155/1.028 ms
14/07/01-12:15:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.735/287.198/288.164/0.866 ms
14/07/01-12:16:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.732/286.891/289.002/1.339 ms
14/07/01-12:18:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.541/287.686/288.917/1.022 ms
14/07/01-12:20:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 285.353/286.994/288.528/1.193 ms
14/07/01-12:22:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.559/288.445/291.697/1.910 ms
14/07/01-12:24:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 287.325/287.717/288.990/0.798 ms
14/07/01-12:25:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.343/287.149/287.760/1.136 ms
14/07/01-12:27:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.222/287.885/291.855/2.131 ms
14/07/01-12:29:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.227/286.827/287.756/0.925 ms
14/07/01-12:31:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 285.129/286.365/287.417/0.999 ms
14/07/01-12:33:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 286.547/287.414/287.779/0.565 ms
14/07/01-12:34:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 285.750/287.522/288.905/1.014 ms
14/07/01-12:36:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.328/286.748/287.450/0.892 ms
14/07/01-12:38:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.316/286.821/287.764/1.117 ms
14/07/01-12:40:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.226/286.766/287.405/0.789 ms
14/07/01-12:42:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 285.323/286.425/288.480/1.326 ms
14/07/01-12:44:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 287.815/288.706/289.359/0.649 ms
14/07/01-12:45:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 285.353/286.686/287.748/1.099 ms
14/07/01-12:47:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 285.337/286.788/287.653/1.092 ms
14/07/01-12:49:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.246/286.875/287.744/0.871 ms
14/07/01-12:51:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 285.759/287.359/289.625/1.393 ms
14/07/01-12:53:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 287.431/287.823/288.535/0.504 ms
14/07/01-12:54:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.557/287.064/287.416/0.712 ms
14/07/01-12:56:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.326/287.325/288.909/1.250 ms
14/07/01-12:58:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.221/287.201/287.745/0.709 ms
14/07/01-13:00:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 286.281/286.884/287.784/0.638 ms
14/07/01-13:01:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.247/287.352/288.559/0.916 ms
14/07/01-13:03:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 285.758/287.016/287.795/0.917 ms
14/07/01-13:05:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.755/287.171/288.870/1.192 ms
14/07/01-13:06:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 284.508/286.340/287.592/1.238 ms
14/07/01-13:08:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 285.368/287.158/288.898/1.312 ms
14/07/01-13:10:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.233/286.988/287.729/0.852 ms
14/07/01-13:11:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.370/286.469/287.823/1.120 ms
14/07/01-13:13:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.198/287.487/288.854/1.090 ms
14/07/01-13:15:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.276/288.215/292.640/2.255 ms
14/07/01-13:16:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.226/287.289/288.485/0.937 ms
14/07/01-13:18:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 285.396/286.989/288.709/1.217 ms
14/07/01-13:20:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.950/287.819/289.951/1.459 ms
14/07/01-13:21:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 286.257/287.466/288.524/0.999 ms
14/07/01-13:23:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.373/286.741/287.782/1.044 ms
14/07/01-13:24:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 287.414/289.137/295.085/2.995 ms
14/07/01-13:26:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.249/287.163/287.804/0.807 ms
14/07/01-13:28:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 287.355/287.563/287.763/0.500 ms
14/07/01-13:29:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.347/287.189/287.805/0.937 ms
