14/07/01-10:53:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.328/153.944/155.136/0.776 ms
14/07/01-10:55:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 153.407/154.207/154.915/0.605 ms
14/07/01-10:56:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.299/154.426/155.063/0.801 ms
14/07/01-10:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.334/154.446/155.199/0.858 ms
14/07/01-11:00:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.421/154.028/154.914/0.486 ms
14/07/01-11:01:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.558/154.528/155.044/0.623 ms
14/07/01-11:03:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.363/154.345/155.126/0.668 ms
14/07/01-11:05:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.470/154.580/155.160/0.673 ms
14/07/01-11:06:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.385/153.940/154.944/0.740 ms
14/07/01-11:08:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.338/154.071/155.130/0.796 ms
14/07/01-11:10:05 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 153.328/153.898/154.802/0.625 ms
14/07/01-11:11:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 153.995/154.774/155.105/0.530 ms
14/07/01-11:13:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.446/154.435/154.972/0.614 ms
14/07/01-11:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 153.841/154.353/155.203/0.668 ms
14/07/01-11:16:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.464/154.201/154.915/0.709 ms
14/07/01-11:18:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 153.406/154.553/155.138/0.699 ms
14/07/01-11:19:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.327/153.740/153.990/0.282 ms
14/07/01-11:21:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 153.462/154.717/155.218/0.636 ms
14/07/01-11:23:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.366/153.738/155.128/0.778 ms
14/07/01-11:24:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.338/154.338/155.064/0.907 ms
14/07/01-11:26:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.256/154.303/155.020/0.782 ms
14/07/01-11:28:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.523/154.724/155.083/0.741 ms
14/07/01-11:29:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.392/154.292/155.131/0.812 ms
14/07/01-11:31:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.521/154.704/155.027/0.592 ms
14/07/01-11:33:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 153.350/154.309/155.047/0.846 ms
14/07/01-11:34:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 154.085/154.771/155.000/0.492 ms
14/07/01-11:36:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 154.873/154.926/155.013/0.050 ms
14/07/01-11:38:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 153.433/154.651/155.132/0.792 ms
14/07/01-11:39:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.508/154.206/154.897/0.712 ms
14/07/01-11:41:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 153.408/154.043/154.871/0.533 ms
14/07/01-11:43:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.295/153.759/155.131/0.689 ms
14/07/01-11:44:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 153.345/154.149/154.917/0.817 ms
14/07/01-11:46:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.991/154.780/155.080/0.474 ms
14/07/01-11:47:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 153.309/154.180/155.126/0.879 ms
14/07/01-11:49:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.482/154.728/155.171/0.627 ms
14/07/01-11:51:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 153.352/153.951/155.179/0.666 ms
14/07/01-11:52:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.815/154.558/155.117/0.550 ms
14/07/01-11:54:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.934/154.558/155.035/0.647 ms
14/07/01-11:56:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.877/154.171/155.044/0.563 ms
14/07/01-11:57:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.378/153.807/154.058/0.442 ms
14/07/01-11:59:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 153.613/154.296/155.106/0.676 ms
14/07/01-12:01:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.320/153.757/154.833/0.624 ms
