14/07/01-10:52:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.097/91.508/91.952/0.356 ms
14/07/01-10:54:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 91.071/91.405/91.887/0.471 ms
14/07/01-10:55:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.149/93.431/100.982/3.806 ms
14/07/01-10:57:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 91.445/91.691/92.151/0.462 ms
14/07/01-10:59:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.053/91.614/92.061/0.399 ms
14/07/01-11:00:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.117/91.398/91.705/0.430 ms
14/07/01-11:02:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.093/91.380/91.677/0.383 ms
14/07/01-11:04:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.996/91.383/91.915/0.408 ms
14/07/01-11:05:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 91.021/91.274/91.882/0.490 ms
14/07/01-11:07:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 91.295/92.821/94.782/1.174 ms
14/07/01-11:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 91.051/91.481/92.068/0.498 ms
14/07/01-11:10:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.964/91.469/92.067/0.492 ms
14/07/01-11:12:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.149/91.624/92.229/0.501 ms
14/07/01-11:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.029/91.537/92.172/0.504 ms
14/07/01-11:15:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 91.054/91.448/92.092/0.519 ms
14/07/01-11:17:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 91.064/91.503/92.402/0.589 ms
14/07/01-11:18:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 98.049/106.537/113.008/5.564 ms
14/07/01-11:20:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 91.040/91.320/92.131/0.491 ms
14/07/01-11:22:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 91.317/91.717/92.624/0.514 ms
14/07/01-11:23:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 115.677/129.413/140.769/9.324 ms
14/07/01-11:25:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.011/91.259/91.618/0.307 ms
14/07/01-11:27:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.130/91.421/91.768/0.316 ms
14/07/01-11:28:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 160.390/177.772/190.351/11.211 ms
14/07/01-11:30:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.093/91.587/92.300/0.598 ms
14/07/01-11:32:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.000/91.474/92.198/0.444 ms
14/07/01-11:33:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.964/91.482/92.299/0.475 ms
14/07/01-11:35:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.061/91.262/91.557/0.266 ms
14/07/01-11:37:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.013/91.955/93.635/1.001 ms
14/07/01-11:38:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.138/91.327/91.909/0.292 ms
14/07/01-11:40:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 124.558/132.359/137.873/4.640 ms
14/07/01-11:41:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 91.078/91.631/92.556/0.638 ms
14/07/01-11:43:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.063/91.418/91.947/0.516 ms
14/07/01-11:45:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 93.102/97.286/100.953/2.645 ms
14/07/01-11:46:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.075/91.650/92.058/0.493 ms
14/07/01-11:48:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.080/91.372/91.948/0.460 ms
14/07/01-11:50:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 91.118/91.612/92.616/0.619 ms
14/07/01-11:51:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 91.030/91.273/91.638/0.296 ms
14/07/01-11:53:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.066/91.473/92.162/0.434 ms
14/07/01-11:55:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.088/91.384/91.941/0.382 ms
14/07/01-11:56:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.240/95.512/100.006/3.344 ms
14/07/01-11:58:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.046/91.294/91.705/0.430 ms
14/07/01-12:00:13 - 5 packets transmitted, 0 received, 100% packet loss, time 4010ms
14/07/01-12:02:01 - 5 packets transmitted, 0 received, 100% packet loss, time 3999ms
14/07/01-12:03:49 - 5 packets transmitted, 0 received, 100% packet loss, time 3999ms
14/07/01-12:05:38 - 5 packets transmitted, 0 received, 100% packet loss, time 4022ms
14/07/01-12:07:26 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:09:16 - 5 packets transmitted, 0 received, 100% packet loss, time 4023ms
14/07/01-12:11:04 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:12:44 - 5 packets transmitted, 3 received, 40% packet loss, time 4002ms rtt min/avg/max/mdev = 90.967/92.022/93.463/1.083 ms
14/07/01-12:14:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.259/91.760/92.813/0.606 ms
