14/07/01-10:53:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 182.147/182.164/182.177/0.013 ms
14/07/01-10:55:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 182.066/182.141/182.194/0.542 ms
14/07/01-10:56:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 182.168/182.187/182.202/0.540 ms
14/07/01-10:58:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 182.121/182.154/182.170/0.467 ms
14/07/01-11:00:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 182.069/182.154/182.185/0.273 ms
14/07/01-11:01:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 182.094/182.172/182.214/0.384 ms
14/07/01-11:03:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 182.086/182.155/182.189/0.272 ms
14/07/01-11:05:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 182.163/182.197/182.263/0.541 ms
14/07/01-11:06:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 182.148/182.171/182.189/0.540 ms
14/07/01-11:08:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 182.137/182.164/182.196/0.026 ms
14/07/01-11:09:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 182.152/182.184/182.235/0.540 ms
14/07/01-11:11:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 182.148/182.163/182.187/0.270 ms
14/07/01-11:13:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 182.174/182.187/182.207/0.381 ms
14/07/01-11:14:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 182.169/182.183/182.190/0.007 ms
14/07/01-11:16:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 182.159/182.181/182.214/0.540 ms
14/07/01-11:18:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 182.079/182.165/182.211/0.045 ms
14/07/01-11:19:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 182.077/182.159/182.207/0.044 ms
14/07/01-11:21:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 182.158/182.213/182.352/0.544 ms
14/07/01-11:23:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 182.146/182.171/182.190/0.467 ms
14/07/01-11:24:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 182.140/182.176/182.199/0.270 ms
14/07/01-11:26:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 182.108/182.166/182.256/0.470 ms
14/07/01-11:28:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 182.048/182.133/182.256/0.076 ms
14/07/01-11:29:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 182.148/182.183/182.219/0.540 ms
14/07/01-11:31:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 182.143/182.159/182.179/0.467 ms
14/07/01-11:33:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 182.163/182.182/182.188/0.270 ms
14/07/01-11:34:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 182.142/182.170/182.220/0.540 ms
14/07/01-11:36:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 182.146/182.172/182.185/0.382 ms
