14/07/01-10:53:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.994/131.107/131.283/0.340 ms
14/07/01-10:55:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.985/131.043/131.162/0.061 ms
14/07/01-10:56:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.971/131.022/131.098/0.233 ms
14/07/01-10:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.973/131.022/131.159/0.070 ms
14/07/01-11:00:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 130.964/131.108/131.314/0.475 ms
14/07/01-11:01:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.975/131.178/131.947/0.502 ms
14/07/01-11:03:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.978/131.264/132.366/0.716 ms
14/07/01-11:04:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.001/131.034/131.111/0.326 ms
14/07/01-11:06:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.012/131.673/132.818/0.764 ms
14/07/01-11:08:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 130.975/131.027/131.137/0.236 ms
14/07/01-11:09:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.975/131.019/131.129/0.055 ms
14/07/01-11:11:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.954/131.093/131.222/0.249 ms
14/07/01-11:13:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.972/130.996/131.023/0.017 ms
14/07/01-11:14:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.975/130.990/131.002/0.457 ms
14/07/01-11:16:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.978/131.008/131.050/0.230 ms
14/07/01-11:18:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.999/131.038/131.140/0.052 ms
14/07/01-11:19:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.995/131.023/131.074/0.324 ms
14/07/01-11:21:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.962/131.012/131.134/0.062 ms
14/07/01-11:23:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.005/131.037/131.148/0.235 ms
14/07/01-11:24:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.988/131.006/131.027/0.229 ms
14/07/01-11:26:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.005/131.020/131.044/0.396 ms
14/07/01-11:28:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.022/131.068/131.158/0.400 ms
14/07/01-11:29:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.981/130.992/131.018/0.396 ms
14/07/01-11:31:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.995/131.006/131.020/0.323 ms
14/07/01-11:32:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.994/131.016/131.045/0.229 ms
14/07/01-11:34:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.004/131.074/131.203/0.403 ms
14/07/01-11:36:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.975/131.001/131.039/0.324 ms
14/07/01-11:37:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.972/131.367/132.564/0.614 ms
14/07/01-11:39:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.988/131.088/131.355/0.353 ms
14/07/01-11:41:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.983/131.038/131.125/0.400 ms
14/07/01-11:42:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.013/131.150/131.452/0.485 ms
14/07/01-11:44:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.993/131.022/131.049/0.396 ms
14/07/01-11:46:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.989/131.032/131.124/0.460 ms
14/07/01-11:47:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 130.992/131.063/131.136/0.059 ms
14/07/01-11:49:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.984/131.008/131.038/0.458 ms
14/07/01-11:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.981/131.013/131.042/0.324 ms
14/07/01-11:52:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 130.999/131.013/131.025/0.396 ms
14/07/01-11:54:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.995/131.042/131.148/0.461 ms
14/07/01-11:56:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 130.991/131.013/131.037/0.324 ms
14/07/01-11:57:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.990/131.070/131.154/0.238 ms
14/07/01-11:59:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.969/131.018/131.102/0.326 ms
14/07/01-12:01:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 130.993/131.007/131.037/0.396 ms
14/07/01-12:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 130.992/131.074/131.232/0.246 ms
14/07/01-12:04:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 130.993/131.104/131.452/0.287 ms
14/07/01-12:06:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 131.027/131.525/131.880/0.495 ms
