14/07/01-10:52:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.078/54.093/54.113/0.255 ms
14/07/01-10:53:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 54.092/54.115/54.177/0.295 ms
14/07/01-10:55:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.091/54.104/54.118/0.009 ms
14/07/01-10:57:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.078/54.102/54.152/0.256 ms
14/07/01-10:58:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.067/54.083/54.110/0.148 ms
14/07/01-11:00:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.104/54.123/54.155/0.208 ms
14/07/01-11:02:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.071/54.119/54.238/0.216 ms
14/07/01-11:03:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.089/54.113/54.144/0.255 ms
14/07/01-11:05:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.095/54.118/54.131/0.294 ms
14/07/01-11:06:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 54.080/54.155/54.263/0.072 ms
14/07/01-11:08:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 54.084/54.111/54.155/0.295 ms
14/07/01-11:10:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.081/54.113/54.157/0.024 ms
14/07/01-11:11:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.995/54.064/54.149/0.216 ms
14/07/01-11:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.996/54.019/54.052/0.208 ms
14/07/01-11:15:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.993/54.145/54.641/0.249 ms
14/07/01-11:16:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.985/54.023/54.046/0.294 ms
14/07/01-11:18:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.070/54.108/54.204/0.048 ms
14/07/01-11:20:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.141/54.236/54.554/0.334 ms
14/07/01-11:21:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.165/54.223/54.401/0.089 ms
14/07/01-11:23:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.132/54.164/54.197/0.255 ms
14/07/01-11:25:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.164/54.200/54.242/0.296 ms
14/07/01-11:26:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.138/54.189/54.294/0.261 ms
14/07/01-11:28:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.152/54.174/54.187/0.014 ms
14/07/01-11:30:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 54.057/54.095/54.166/0.211 ms
14/07/01-11:31:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.050/54.075/54.123/0.295 ms
14/07/01-11:33:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.064/54.131/54.274/0.303 ms
14/07/01-11:34:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.065/54.082/54.093/0.208 ms
14/07/01-11:36:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.058/54.085/54.128/0.295 ms
14/07/01-11:38:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.072/54.092/54.110/0.208 ms
14/07/01-11:39:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.105/54.173/54.351/0.308 ms
