14/07/01-10:52:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.690/219.247/220.260/1.876 ms
14/07/01-10:54:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 220.067/220.327/221.036/0.693 ms
14/07/01-10:56:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.216/219.335/220.203/1.669 ms
14/07/01-10:57:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 220.233/220.828/222.266/0.949 ms
14/07/01-10:59:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.586/219.593/221.325/2.144 ms
14/07/01-11:01:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.656/219.736/221.728/1.742 ms
14/07/01-11:02:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.297/219.397/220.244/1.606 ms
14/07/01-11:04:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.772/219.429/220.696/1.888 ms
14/07/01-11:06:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.576/219.573/221.312/2.085 ms
14/07/01-11:07:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 220.056/220.238/220.778/0.582 ms
14/07/01-11:09:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 220.040/220.072/220.103/0.420 ms
14/07/01-11:11:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 220.168/220.724/221.842/0.604 ms
14/07/01-11:12:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 220.158/220.806/221.228/0.502 ms
14/07/01-11:14:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 215.774/219.470/220.732/1.886 ms
14/07/01-11:15:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.946/219.373/220.496/1.720 ms
14/07/01-11:17:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 215.558/219.281/220.571/1.940 ms
14/07/01-11:19:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 215.545/219.257/220.414/1.884 ms
14/07/01-11:20:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 215.663/219.300/220.339/1.844 ms
14/07/01-11:22:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.578/219.448/220.815/1.960 ms
14/07/01-11:24:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.902/219.556/220.941/1.919 ms
14/07/01-11:25:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.826/218.487/220.442/2.075 ms
14/07/01-11:27:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 220.024/220.317/221.001/0.622 ms
14/07/01-11:29:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.661/219.397/220.697/1.969 ms
14/07/01-11:30:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.547/218.510/220.880/2.437 ms
14/07/01-11:32:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 215.527/219.463/221.552/2.112 ms
