14/07/01-10:53:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 77.274/80.186/82.219/2.394 ms
14/07/01-10:54:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 81.731/81.942/82.110/0.219 ms
14/07/01-10:56:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.686/81.848/82.089/0.291 ms
14/07/01-10:58:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.864/81.908/81.950/0.183 ms
14/07/01-10:59:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.681/81.925/82.207/0.362 ms
14/07/01-11:01:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.836/81.914/82.058/0.199 ms
14/07/01-11:03:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.876/81.945/82.015/0.261 ms
14/07/01-11:04:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.741/81.964/82.094/0.287 ms
14/07/01-11:06:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.849/81.959/82.025/0.368 ms
14/07/01-11:08:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 77.557/77.674/77.836/0.102 ms
14/07/01-11:09:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.872/82.039/82.152/0.379 ms
14/07/01-11:11:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 81.874/82.016/82.117/0.100 ms
14/07/01-11:12:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.834/82.032/82.208/0.382 ms
14/07/01-11:14:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.864/81.963/82.102/0.081 ms
14/07/01-11:16:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.813/81.975/82.156/0.386 ms
14/07/01-11:17:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.882/81.932/81.956/0.183 ms
14/07/01-11:19:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.750/81.971/82.205/0.390 ms
14/07/01-11:21:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 81.802/82.044/82.237/0.305 ms
14/07/01-11:22:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 81.938/82.010/82.080/0.261 ms
14/07/01-11:24:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.906/82.044/82.143/0.374 ms
14/07/01-11:26:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 77.393/77.471/77.617/0.078 ms
14/07/01-11:27:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.761/81.994/82.301/0.409 ms
14/07/01-11:29:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 81.892/82.061/82.180/0.331 ms
14/07/01-11:30:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.752/81.884/81.984/0.324 ms
14/07/01-11:32:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 77.261/77.491/77.637/0.289 ms
14/07/01-11:34:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 81.724/81.883/82.012/0.273 ms
