14/07/01-10:52:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.395/209.911/211.354/0.934 ms
14/07/01-10:54:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.289/209.723/210.622/0.692 ms
14/07/01-10:55:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.296/209.568/209.948/0.464 ms
14/07/01-10:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.335/209.484/209.731/0.431 ms
14/07/01-10:59:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.243/209.509/209.824/0.206 ms
14/07/01-11:00:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 209.369/209.592/210.137/0.573 ms
14/07/01-11:02:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.320/209.543/209.764/0.603 ms
14/07/01-11:04:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.304/209.545/210.082/0.399 ms
14/07/01-11:05:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.232/209.451/209.725/0.333 ms
14/07/01-11:07:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.331/209.651/210.354/0.482 ms
14/07/01-11:09:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 209.260/209.439/209.720/0.599 ms
14/07/01-11:10:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 209.320/209.499/209.904/0.544 ms
14/07/01-11:12:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 209.367/209.833/210.308/0.570 ms
14/07/01-11:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 209.330/209.629/210.447/0.503 ms
14/07/01-11:15:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 209.395/209.623/209.920/0.605 ms
14/07/01-11:17:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.351/209.385/209.437/0.036 ms
14/07/01-11:18:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 209.361/209.627/210.092/0.486 ms
14/07/01-11:20:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 209.202/209.427/209.863/0.369 ms
