14/07/01-10:52:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.805/145.977/146.059/0.091 ms
14/07/01-10:53:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.880/145.985/146.075/0.072 ms
14/07/01-10:55:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.928/145.990/146.045/0.343 ms
14/07/01-10:56:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.926/146.463/147.271/0.594 ms
14/07/01-10:58:34 - 5 packets transmitted, 4 received, 20% packet loss, time 4012ms rtt min/avg/max/mdev = 147.207/147.255/147.330/0.275 ms
14/07/01-11:00:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.961/146.063/146.266/0.111 ms
14/07/01-11:01:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.969/146.040/146.125/0.064 ms
14/07/01-11:03:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.902/146.036/146.196/0.432 ms
14/07/01-11:05:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.905/146.018/146.104/0.348 ms
14/07/01-11:06:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.924/146.016/146.064/0.049 ms
14/07/01-11:08:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.009/146.039/146.103/0.420 ms
14/07/01-11:10:01 - 5 packets transmitted, 3 received, 40% packet loss, time 4009ms rtt min/avg/max/mdev = 147.176/147.285/147.442/0.457 ms
14/07/01-11:11:40 - 5 packets transmitted, 4 received, 20% packet loss, time 4010ms rtt min/avg/max/mdev = 147.248/147.322/147.388/0.472 ms
