14/07/01-10:51:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 148.389/148.520/148.664/0.357 ms
14/07/01-10:53:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 148.339/148.530/148.771/0.377 ms
14/07/01-10:55:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.356/148.505/148.829/0.382 ms
14/07/01-10:56:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.303/148.460/148.630/0.265 ms
14/07/01-10:58:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 148.384/148.463/148.549/0.427 ms
14/07/01-11:00:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.403/148.522/148.673/0.435 ms
14/07/01-11:01:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.294/148.512/148.642/0.503 ms
14/07/01-11:03:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.367/148.623/148.831/0.290 ms
14/07/01-11:04:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 148.460/148.587/148.758/0.362 ms
14/07/01-11:06:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.443/148.483/148.603/0.251 ms
14/07/01-11:08:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.396/148.557/148.617/0.354 ms
14/07/01-11:09:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.325/148.512/148.683/0.446 ms
14/07/01-11:11:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.379/148.434/148.509/0.248 ms
14/07/01-11:13:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 148.307/148.458/148.636/0.439 ms
