14/07/01-10:53:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.534/35.590/35.687/0.130 ms
14/07/01-10:54:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.568/36.036/36.659/0.456 ms
14/07/01-10:56:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.448/35.878/36.571/0.421 ms
14/07/01-10:57:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.482/35.681/36.170/0.305 ms
14/07/01-10:59:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.725/35.885/36.136/0.196 ms
14/07/01-11:01:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.469/35.553/35.636/0.216 ms
14/07/01-11:02:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.557/35.879/36.503/0.407 ms
14/07/01-11:04:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.450/35.632/35.709/0.226 ms
14/07/01-11:06:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.370/35.700/36.037/0.311 ms
14/07/01-11:07:47 - 5 packets transmitted, 4 received, 20% packet loss, time 4003ms rtt min/avg/max/mdev = 35.448/35.632/36.040/0.275 ms
14/07/01-11:09:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 35.312/35.572/36.006/0.236 ms
14/07/01-11:11:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.429/35.694/36.117/0.275 ms
14/07/01-11:12:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.536/35.862/36.065/0.218 ms
14/07/01-11:14:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.473/35.659/35.864/0.167 ms
