14/07/01-10:52:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 201.006/204.113/210.240/3.625 ms
14/07/01-10:54:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.848/201.576/202.628/0.829 ms
14/07/01-10:55:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.841/202.260/206.725/2.238 ms
14/07/01-10:57:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.843/201.486/201.816/0.690 ms
14/07/01-10:59:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 200.956/203.524/211.497/4.051 ms
14/07/01-11:00:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 200.785/200.990/201.127/0.579 ms
14/07/01-11:02:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 201.197/202.847/206.623/2.113 ms
14/07/01-11:03:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 200.961/202.802/206.772/2.249 ms
14/07/01-11:05:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 200.978/202.368/205.527/1.762 ms
14/07/01-11:07:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 200.700/201.464/203.842/1.291 ms
14/07/01-11:08:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.908/204.071/212.271/4.410 ms
14/07/01-11:10:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.773/201.780/203.003/1.066 ms
14/07/01-11:12:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 202.146/205.369/210.431/3.342 ms
14/07/01-11:13:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.936/201.786/203.542/1.080 ms
14/07/01-11:15:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 200.918/202.647/208.233/2.873 ms
14/07/01-11:17:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 201.100/202.065/203.119/0.918 ms
14/07/01-11:18:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.864/201.254/202.606/0.677 ms
14/07/01-11:20:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 200.903/203.138/207.754/2.410 ms
14/07/01-11:22:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 201.142/203.840/212.195/4.263 ms
14/07/01-11:23:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 200.910/202.306/204.255/1.364 ms
14/07/01-11:25:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 201.044/202.983/208.244/2.753 ms
14/07/01-11:26:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 201.303/203.723/211.416/3.899 ms
14/07/01-11:28:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.889/203.077/205.874/2.246 ms
14/07/01-11:30:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 201.010/201.402/202.211/0.659 ms
14/07/01-11:31:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.911/201.426/202.846/0.872 ms
14/07/01-11:33:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.995/202.374/205.700/1.782 ms
14/07/01-11:35:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 200.826/203.844/211.135/3.837 ms
14/07/01-11:36:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.810/201.160/201.692/0.523 ms
14/07/01-11:38:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.715/201.019/201.195/0.435 ms
14/07/01-11:40:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 202.114/205.811/212.630/3.624 ms
14/07/01-11:41:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.844/201.848/203.225/1.034 ms
14/07/01-11:43:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 201.005/201.181/201.372/0.421 ms
14/07/01-11:44:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 201.225/204.897/211.428/3.539 ms
14/07/01-11:46:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.894/201.786/204.490/1.431 ms
14/07/01-11:48:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 200.946/202.497/204.095/1.302 ms
14/07/01-11:49:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.827/201.301/202.004/0.663 ms
14/07/01-11:51:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.738/200.895/201.098/0.310 ms
14/07/01-11:53:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.861/201.372/202.141/0.456 ms
14/07/01-11:54:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.810/201.810/205.067/1.705 ms
14/07/01-11:56:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 201.071/202.117/203.779/1.282 ms
14/07/01-11:57:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.754/201.618/204.375/1.384 ms
14/07/01-11:59:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 201.052/204.320/212.257/4.161 ms
14/07/01-12:01:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.752/201.061/201.758/0.539 ms
14/07/01-12:03:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.796/201.056/201.253/0.428 ms
14/07/01-12:05:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.970/204.510/211.553/4.233 ms
14/07/01-12:06:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.970/203.828/209.031/3.300 ms
14/07/01-12:08:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 200.825/204.188/209.082/3.469 ms
14/07/01-12:10:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 201.001/201.795/203.322/0.926 ms
14/07/01-12:12:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 200.903/202.290/205.243/1.717 ms
14/07/01-12:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.979/201.598/202.608/0.751 ms
14/07/01-12:15:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.836/203.333/212.582/4.660 ms
14/07/01-12:17:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 200.863/202.263/206.782/2.281 ms
14/07/01-12:19:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 200.996/204.313/208.286/2.987 ms
14/07/01-12:21:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 200.944/203.533/208.864/2.929 ms
14/07/01-12:22:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.879/202.942/209.693/3.393 ms
14/07/01-12:24:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.906/202.844/207.615/2.459 ms
14/07/01-12:26:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 200.763/201.562/204.135/1.380 ms
