14/07/01-10:52:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.681/164.733/167.973/1.695 ms
14/07/01-10:54:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.651/163.737/163.870/0.369 ms
14/07/01-10:56:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 163.700/163.839/163.976/0.281 ms
14/07/01-10:57:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 163.682/163.781/163.882/0.450 ms
14/07/01-10:59:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.745/163.850/163.937/0.516 ms
14/07/01-11:01:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.672/163.713/163.778/0.258 ms
14/07/01-11:02:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.695/163.794/163.889/0.515 ms
14/07/01-11:04:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.598/163.727/163.881/0.456 ms
14/07/01-11:05:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.688/163.722/163.762/0.444 ms
14/07/01-11:07:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.682/163.927/164.693/0.385 ms
14/07/01-11:09:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 163.477/163.597/163.736/0.518 ms
14/07/01-11:10:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.697/163.752/163.843/0.515 ms
14/07/01-11:12:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.690/163.748/163.859/0.065 ms
14/07/01-11:14:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.567/163.870/164.701/0.490 ms
14/07/01-11:15:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 163.792/163.902/164.125/0.458 ms
14/07/01-11:17:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 163.693/163.778/163.900/0.094 ms
14/07/01-11:19:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 163.661/163.762/163.880/0.373 ms
14/07/01-11:20:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.722/163.790/163.925/0.368 ms
14/07/01-11:22:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.642/163.719/163.796/0.365 ms
14/07/01-11:23:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.688/164.758/168.825/2.033 ms
14/07/01-11:25:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.670/163.728/163.805/0.513 ms
14/07/01-11:27:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.657/163.734/163.842/0.370 ms
14/07/01-11:28:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.692/164.363/165.301/0.754 ms
14/07/01-11:30:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.698/163.723/163.752/0.443 ms
14/07/01-11:32:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.573/163.747/163.895/0.461 ms
14/07/01-11:33:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.651/163.716/163.831/0.516 ms
14/07/01-11:35:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.664/163.720/163.797/0.445 ms
14/07/01-11:37:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.535/163.666/163.762/0.266 ms
