14/07/01-10:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 193.627/193.736/193.847/0.082 ms
14/07/01-10:53:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.549/193.643/193.733/0.061 ms
14/07/01-10:55:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.598/193.658/193.774/0.286 ms
14/07/01-10:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 192.168/193.344/193.675/0.651 ms
14/07/01-10:58:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 193.568/193.687/193.962/0.311 ms
14/07/01-11:00:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.608/193.685/193.757/0.485 ms
14/07/01-11:02:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.638/193.722/193.872/0.402 ms
14/07/01-11:03:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.578/193.656/193.893/0.496 ms
14/07/01-11:05:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.609/193.705/193.755/0.283 ms
14/07/01-11:06:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.495/193.631/193.709/0.488 ms
14/07/01-11:08:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.559/193.646/193.772/0.401 ms
14/07/01-11:10:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.575/193.607/193.655/0.026 ms
14/07/01-11:11:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 193.444/193.568/193.628/0.065 ms
14/07/01-11:13:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 193.430/193.577/193.688/0.563 ms
14/07/01-11:15:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 192.213/193.361/193.690/0.574 ms
14/07/01-11:16:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.503/193.665/193.843/0.113 ms
14/07/01-11:18:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.540/193.675/193.823/0.100 ms
14/07/01-11:20:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.261/193.485/193.601/0.411 ms
14/07/01-11:21:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.471/193.618/193.740/0.088 ms
14/07/01-11:23:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.541/193.754/193.962/0.139 ms
14/07/01-11:25:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.549/193.635/193.731/0.058 ms
14/07/01-11:26:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.551/193.680/193.803/0.294 ms
14/07/01-11:28:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.504/193.641/193.732/0.401 ms
14/07/01-11:29:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.478/193.644/193.789/0.405 ms
