14/07/01-10:51:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.846/168.974/169.120/0.531 ms
14/07/01-10:53:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 168.839/168.999/169.150/0.124 ms
14/07/01-10:55:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 168.893/168.964/169.016/0.521 ms
14/07/01-10:56:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 168.782/168.944/169.034/0.089 ms
14/07/01-10:58:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 168.885/169.004/169.128/0.528 ms
14/07/01-11:00:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 168.939/169.113/169.333/0.290 ms
14/07/01-11:01:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 168.822/168.951/169.016/0.524 ms
14/07/01-11:03:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 168.894/169.134/169.472/0.488 ms
14/07/01-11:05:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 168.800/168.975/169.069/0.380 ms
14/07/01-11:06:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.893/168.995/169.121/0.529 ms
14/07/01-11:08:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.788/169.018/169.309/0.175 ms
14/07/01-11:09:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 168.809/168.968/169.082/0.378 ms
14/07/01-11:11:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.761/168.966/169.124/0.541 ms
14/07/01-11:13:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.935/169.046/169.298/0.390 ms
14/07/01-11:14:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 168.861/169.038/169.183/0.385 ms
14/07/01-11:16:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.797/168.985/169.106/0.384 ms
14/07/01-11:18:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.898/169.018/169.261/0.389 ms
14/07/01-11:19:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 168.910/168.982/169.096/0.523 ms
14/07/01-11:21:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.892/168.993/169.088/0.458 ms
14/07/01-11:23:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.900/169.070/169.216/0.283 ms
14/07/01-11:24:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.861/169.020/169.153/0.381 ms
14/07/01-11:26:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.834/168.904/169.035/0.455 ms
14/07/01-11:27:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.807/168.855/168.909/0.041 ms
