14/07/01-10:52:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 175.758/175.856/175.928/0.271 ms
14/07/01-10:54:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 175.831/175.947/176.247/0.160 ms
14/07/01-10:56:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.815/175.880/176.006/0.464 ms
14/07/01-10:57:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.695/175.999/176.299/0.580 ms
14/07/01-10:59:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.782/176.000/176.623/0.617 ms
14/07/01-11:00:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 175.721/175.808/175.877/0.462 ms
14/07/01-11:02:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.990/176.226/176.643/0.537 ms
14/07/01-11:04:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.792/175.903/175.989/0.384 ms
14/07/01-11:05:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.793/176.052/176.940/0.692 ms
14/07/01-11:07:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.910/176.006/176.159/0.538 ms
14/07/01-11:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.771/175.852/175.960/0.073 ms
14/07/01-11:10:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.790/175.882/176.041/0.468 ms
14/07/01-11:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.787/175.854/175.917/0.532 ms
14/07/01-11:14:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.755/175.769/175.781/0.375 ms
14/07/01-11:15:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.760/175.917/176.074/0.472 ms
14/07/01-11:17:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.851/176.214/176.842/0.648 ms
14/07/01-11:19:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.851/175.904/176.021/0.463 ms
14/07/01-11:20:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.740/175.928/176.442/0.459 ms
14/07/01-11:22:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 175.763/175.933/176.504/0.286 ms
14/07/01-11:23:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.807/175.951/176.258/0.161 ms
14/07/01-11:25:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.840/176.074/176.712/0.563 ms
14/07/01-11:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.777/175.838/175.889/0.461 ms
14/07/01-11:28:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.738/175.876/176.065/0.394 ms
14/07/01-11:30:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.827/175.919/176.076/0.540 ms
14/07/01-11:32:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.696/175.977/176.164/0.315 ms
14/07/01-11:33:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.736/175.835/176.047/0.473 ms
14/07/01-11:35:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.751/175.852/176.069/0.542 ms
14/07/01-11:36:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.723/176.023/176.391/0.377 ms
14/07/01-11:38:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.741/175.831/176.026/0.283 ms
14/07/01-11:40:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.665/175.986/176.396/0.579 ms
14/07/01-11:41:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.783/175.895/176.004/0.468 ms
14/07/01-11:43:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 175.728/175.829/176.013/0.389 ms
14/07/01-11:45:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 175.755/175.912/176.050/0.281 ms
14/07/01-11:46:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 175.775/175.896/175.984/0.385 ms
14/07/01-11:48:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.758/175.925/176.201/0.308 ms
14/07/01-11:50:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.737/175.896/176.034/0.288 ms
14/07/01-11:51:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.790/175.977/176.273/0.561 ms
14/07/01-11:53:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 175.724/176.006/176.465/0.592 ms
14/07/01-11:54:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.784/175.925/176.176/0.399 ms
14/07/01-11:56:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.768/175.822/175.948/0.065 ms
14/07/01-11:58:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.808/175.885/175.993/0.536 ms
14/07/01-12:00:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.715/175.851/175.967/0.388 ms
