14/07/01-10:52:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.850/180.856/180.869/0.465 ms
14/07/01-10:54:36 - 5 packets transmitted, 4 received, 20% packet loss, time 4012ms rtt min/avg/max/mdev = 180.816/180.875/180.960/0.052 ms
14/07/01-10:56:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.853/180.878/180.929/0.466 ms
14/07/01-10:57:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.853/180.884/180.909/0.538 ms
14/07/01-10:59:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 180.866/180.938/181.039/0.278 ms
14/07/01-11:01:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 180.807/180.880/181.006/0.277 ms
14/07/01-11:02:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 180.819/180.976/181.537/0.388 ms
14/07/01-11:04:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 180.807/180.865/180.948/0.051 ms
14/07/01-11:06:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 180.868/180.906/180.946/0.466 ms
14/07/01-11:07:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.790/180.848/180.914/0.382 ms
14/07/01-11:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.709/180.776/180.818/0.467 ms
14/07/01-11:10:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.843/180.876/180.911/0.381 ms
14/07/01-11:12:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 180.832/180.907/181.011/0.071 ms
14/07/01-11:14:16 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 180.906/181.068/181.308/0.541 ms
14/07/01-11:15:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.778/180.906/181.031/0.287 ms
14/07/01-11:17:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.827/180.874/180.909/0.467 ms
14/07/01-11:19:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.840/180.862/180.891/0.466 ms
14/07/01-11:20:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 180.872/182.108/183.783/1.449 ms
14/07/01-11:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 180.751/180.823/180.883/0.382 ms
14/07/01-11:24:05 - 5 packets transmitted, 4 received, 20% packet loss, time 4000ms rtt min/avg/max/mdev = 180.907/180.936/181.001/0.427 ms
14/07/01-11:25:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.910/180.954/180.991/0.270 ms
14/07/01-11:27:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.855/180.891/180.928/0.538 ms
14/07/01-11:28:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.797/180.895/181.020/0.471 ms
14/07/01-11:30:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.865/180.909/180.965/0.381 ms
14/07/01-11:32:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.797/180.848/180.881/0.466 ms
14/07/01-11:33:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.842/180.916/181.016/0.072 ms
14/07/01-11:35:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.805/180.874/180.954/0.383 ms
14/07/01-11:37:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 180.861/181.222/182.539/0.711 ms
14/07/01-11:38:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 180.819/180.884/180.922/0.539 ms
14/07/01-11:40:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.829/180.864/180.929/0.539 ms
14/07/01-11:42:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.842/180.894/181.010/0.541 ms
14/07/01-11:43:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 181.891/182.974/183.883/0.860 ms
14/07/01-11:45:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.838/180.892/180.926/0.270 ms
14/07/01-11:46:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.857/181.153/182.263/0.616 ms
14/07/01-11:48:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.815/180.918/181.014/0.472 ms
14/07/01-11:50:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.837/181.009/181.493/0.590 ms
14/07/01-11:51:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.855/180.969/181.343/0.187 ms
14/07/01-11:53:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.802/180.911/181.026/0.545 ms
14/07/01-11:55:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 180.835/180.873/180.910/0.466 ms
14/07/01-11:56:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.855/180.906/180.987/0.048 ms
14/07/01-11:58:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 180.866/180.905/180.989/0.467 ms
