14/07/01-10:52:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 153.348/154.085/154.915/0.688 ms
14/07/01-10:53:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 153.819/154.672/154.896/0.606 ms
14/07/01-10:55:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.306/153.596/153.903/0.255 ms
14/07/01-10:57:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.446/154.438/155.042/0.784 ms
14/07/01-10:58:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.406/154.327/154.963/0.813 ms
14/07/01-11:00:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.306/154.210/155.051/0.790 ms
14/07/01-11:02:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.339/154.254/155.008/0.667 ms
14/07/01-11:03:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.211/154.269/155.033/0.890 ms
14/07/01-11:05:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.459/154.431/154.991/0.828 ms
14/07/01-11:07:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.349/154.404/154.990/0.649 ms
14/07/01-11:08:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.914/154.526/154.924/0.472 ms
14/07/01-11:10:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.528/154.633/155.042/0.556 ms
14/07/01-11:12:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 153.317/153.694/154.957/0.765 ms
14/07/01-11:13:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.461/153.878/154.891/0.693 ms
14/07/01-11:15:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 153.350/154.128/155.100/0.883 ms
14/07/01-11:16:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.300/153.848/154.911/0.678 ms
