14/07/01-10:52:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.135/175.688/177.878/1.850 ms
14/07/01-10:53:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.134/173.499/173.996/0.494 ms
14/07/01-10:55:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.189/173.501/173.957/0.383 ms
14/07/01-10:57:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.137/175.068/178.920/2.255 ms
14/07/01-10:58:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.195/173.370/173.568/0.543 ms
14/07/01-11:00:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.215/173.352/173.507/0.472 ms
14/07/01-11:02:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.119/173.749/174.282/0.736 ms
14/07/01-11:03:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.132/173.393/173.651/0.172 ms
14/07/01-11:05:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.348/173.864/174.095/0.599 ms
14/07/01-11:06:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.149/173.603/174.111/0.611 ms
14/07/01-11:08:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.152/173.488/173.759/0.196 ms
14/07/01-11:10:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.120/174.337/176.790/1.396 ms
14/07/01-11:11:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.254/174.255/175.537/0.866 ms
14/07/01-11:13:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.202/173.799/174.637/0.622 ms
14/07/01-11:15:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.252/173.540/174.236/0.366 ms
14/07/01-11:16:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.221/173.540/174.034/0.613 ms
14/07/01-11:18:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.156/173.347/173.646/0.551 ms
14/07/01-11:20:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.314/173.716/174.673/0.518 ms
14/07/01-11:21:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.164/173.333/173.566/0.545 ms
14/07/01-11:23:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.025/173.689/174.834/0.679 ms
14/07/01-11:24:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.337/173.719/174.134/0.339 ms
14/07/01-11:26:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.330/173.441/173.636/0.470 ms
14/07/01-11:28:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 173.301/174.029/175.789/1.011 ms
14/07/01-11:29:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.555/179.046/184.432/4.495 ms
14/07/01-11:31:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 173.497/173.646/173.789/0.385 ms
14/07/01-11:33:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.127/173.571/173.920/0.381 ms
14/07/01-11:34:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.305/173.655/174.069/0.445 ms
14/07/01-11:36:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 173.191/173.530/174.095/0.486 ms
14/07/01-11:38:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 238.779/247.937/259.030/6.948 ms
14/07/01-11:39:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 173.143/173.798/174.281/0.692 ms
14/07/01-11:41:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.197/174.058/175.205/0.898 ms
14/07/01-11:42:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 173.154/173.600/174.425/0.654 ms
14/07/01-11:44:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.355/173.956/174.457/0.471 ms
14/07/01-11:46:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 173.155/173.481/174.114/0.449 ms
14/07/01-11:47:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.135/173.477/173.807/0.371 ms
14/07/01-11:49:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.185/173.744/175.284/0.787 ms
14/07/01-11:51:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.201/175.225/177.147/1.106 ms
14/07/01-11:52:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.210/173.559/174.223/0.475 ms
14/07/01-11:54:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.254/173.364/173.494/0.282 ms
14/07/01-11:56:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.220/173.308/173.421/0.080 ms
14/07/01-11:57:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.310/174.095/175.978/1.038 ms
14/07/01-11:59:26 - 5 packets transmitted, 0 received, 100% packet loss, time 4001ms
14/07/01-12:01:14 - 5 packets transmitted, 0 received, 100% packet loss, time 4010ms
14/07/01-12:03:01 - 5 packets transmitted, 0 received, 100% packet loss, time 4032ms
14/07/01-12:04:49 - 5 packets transmitted, 0 received, 100% packet loss, time 4025ms
14/07/01-12:06:37 - 5 packets transmitted, 0 received, 100% packet loss, time 4031ms
14/07/01-12:08:25 - 5 packets transmitted, 0 received, 100% packet loss, time 4028ms
14/07/01-12:10:14 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:12:01 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:13:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.218/173.648/174.076/0.445 ms
14/07/01-12:15:27 - 5 packets transmitted, 0 received, 100% packet loss, time 4001ms
14/07/01-12:17:15 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:19:03 - 5 packets transmitted, 0 received, 100% packet loss, time 4019ms
14/07/01-12:20:51 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:22:38 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:24:27 - 5 packets transmitted, 0 received, 100% packet loss, time 4025ms
14/07/01-12:26:15 - 5 packets transmitted, 0 received, 100% packet loss, time 4023ms
14/07/01-12:28:03 - 5 packets transmitted, 0 received, 100% packet loss, time 4001ms
14/07/01-12:29:51 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:31:38 - 5 packets transmitted, 0 received, 100% packet loss, time 4001ms
14/07/01-12:33:26 - 5 packets transmitted, 0 received, 100% packet loss, time 4026ms
14/07/01-12:35:14 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:37:03 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:38:51 - 5 packets transmitted, 0 received, 100% packet loss, time 4023ms
14/07/01-12:40:40 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:42:29 - 5 packets transmitted, 0 received, 100% packet loss, time 4001ms
14/07/01-12:44:17 - 5 packets transmitted, 0 received, 100% packet loss, time 4008ms
14/07/01-12:46:04 - 5 packets transmitted, 0 received, 100% packet loss, time 4023ms
14/07/01-12:47:52 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:49:40 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:51:28 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:53:16 - 5 packets transmitted, 0 received, 100% packet loss, time 4026ms
14/07/01-12:55:03 - 5 packets transmitted, 0 received, 100% packet loss, time 4023ms
14/07/01-12:56:51 - 5 packets transmitted, 0 received, 100% packet loss, time 4022ms
14/07/01-12:58:39 - 5 packets transmitted, 0 received, 100% packet loss, time 4023ms
14/07/01-13:00:27 - 5 packets transmitted, 0 received, 100% packet loss, time 3999ms
14/07/01-13:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 173.158/173.444/174.255/0.552 ms
14/07/01-13:03:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 173.260/173.693/174.195/0.546 ms
14/07/01-13:05:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.297/173.887/174.696/0.491 ms
14/07/01-13:07:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.505/173.721/174.083/0.499 ms
14/07/01-13:08:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.212/174.643/179.846/2.618 ms
14/07/01-13:10:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 173.326/175.940/184.380/4.301 ms
14/07/01-13:11:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.259/173.806/174.517/0.430 ms
14/07/01-13:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.254/173.776/174.742/0.559 ms
14/07/01-13:15:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.201/173.492/174.119/0.558 ms
14/07/01-13:16:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.039/174.735/179.262/2.313 ms
14/07/01-13:18:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.169/173.385/173.986/0.607 ms
14/07/01-13:20:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.825/174.854/175.314/0.740 ms
14/07/01-13:21:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.195/173.295/173.488/0.283 ms
14/07/01-13:23:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.154/173.503/174.218/0.389 ms
14/07/01-13:24:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.638/174.585/176.812/1.139 ms
14/07/01-13:26:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.189/173.757/174.395/0.561 ms
14/07/01-13:28:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.247/173.586/174.163/0.332 ms
14/07/01-13:29:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.375/173.712/174.009/0.241 ms
14/07/01-13:31:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.401/174.191/175.424/0.996 ms
14/07/01-13:33:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.289/173.488/173.817/0.194 ms
14/07/01-13:34:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 173.350/173.424/173.569/0.382 ms
14/07/01-13:36:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 173.101/173.480/173.845/0.586 ms
14/07/01-13:38:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.982/196.099/199.936/2.132 ms
14/07/01-13:39:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.139/173.337/173.546/0.146 ms
14/07/01-13:41:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.218/173.671/174.532/0.651 ms
14/07/01-13:43:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.197/173.558/173.997/0.528 ms
14/07/01-13:44:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.196/173.352/173.672/0.409 ms
14/07/01-13:46:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.160/173.536/174.060/0.496 ms
14/07/01-13:47:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.159/173.469/174.082/0.495 ms
14/07/01-13:49:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 173.127/173.540/173.828/0.452 ms
14/07/01-13:51:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.225/173.866/175.944/1.139 ms
14/07/01-13:52:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.146/173.329/173.639/0.413 ms
14/07/01-13:54:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.349/174.815/176.496/1.230 ms
14/07/01-13:56:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.193/173.664/174.365/0.613 ms
14/07/01-13:57:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.151/173.617/174.251/0.599 ms
14/07/01-13:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.165/173.632/174.331/0.666 ms
14/07/01-14:00:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.170/173.395/173.551/0.128 ms
14/07/01-14:02:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.152/173.344/173.515/0.547 ms
14/07/01-14:04:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.142/173.403/173.784/0.579 ms
14/07/01-14:05:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.194/173.623/174.103/0.530 ms
14/07/01-14:07:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.211/173.486/174.194/0.529 ms
14/07/01-14:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 195.305/198.523/202.326/2.520 ms
14/07/01-14:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.369/173.761/174.222/0.583 ms
14/07/01-14:12:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 173.191/173.448/173.950/0.267 ms
14/07/01-14:14:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 173.282/175.745/184.162/4.235 ms
14/07/01-14:15:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 173.198/173.322/173.518/0.540 ms
14/07/01-14:17:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 173.527/173.678/174.059/0.562 ms
14/07/01-14:18:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 173.333/174.067/174.841/0.741 ms
14/07/01-14:20:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.272/173.791/174.776/0.595 ms
14/07/01-14:22:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 173.440/175.219/181.303/3.080 ms
14/07/01-14:23:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 173.304/173.596/174.083/0.534 ms
