14/07/01-10:53:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.617/71.694/71.791/0.303 ms
14/07/01-10:54:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.648/71.677/71.715/0.025 ms
14/07/01-10:56:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.527/71.673/71.815/0.110 ms
14/07/01-10:58:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.522/71.612/71.649/0.047 ms
14/07/01-10:59:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.542/71.612/71.679/0.343 ms
14/07/01-11:01:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.622/71.659/71.692/0.240 ms
14/07/01-11:03:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.643/71.676/71.794/0.059 ms
14/07/01-11:04:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.530/71.638/71.688/0.299 ms
14/07/01-11:06:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.589/71.665/71.710/0.341 ms
14/07/01-11:07:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.657/71.686/71.719/0.294 ms
14/07/01-11:09:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.624/71.654/71.674/0.017 ms
14/07/01-11:11:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 71.650/71.685/71.731/0.294 ms
14/07/01-11:12:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.537/71.659/71.823/0.193 ms
14/07/01-11:14:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.646/71.733/71.793/0.177 ms
14/07/01-11:16:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.650/71.719/71.805/0.065 ms
14/07/01-11:17:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 71.592/71.627/71.654/0.021 ms
14/07/01-11:19:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.635/71.660/71.686/0.339 ms
14/07/01-11:21:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.563/71.649/71.724/0.178 ms
14/07/01-11:22:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.523/71.632/71.677/0.298 ms
14/07/01-11:24:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.612/71.747/71.828/0.079 ms
14/07/01-11:25:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.634/71.716/71.808/0.301 ms
14/07/01-11:27:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.629/71.641/71.653/0.169 ms
14/07/01-11:29:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 71.581/71.623/71.664/0.340 ms
14/07/01-11:30:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 71.625/71.720/71.807/0.345 ms
14/07/01-11:32:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 71.633/71.668/71.699/0.339 ms
14/07/01-11:34:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.609/71.706/71.819/0.350 ms
14/07/01-11:35:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.637/71.686/71.737/0.242 ms
14/07/01-11:37:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.605/71.681/71.727/0.174 ms
14/07/01-11:39:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.592/71.642/71.713/0.174 ms
14/07/01-11:40:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.660/71.680/71.716/0.293 ms
14/07/01-11:42:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.551/71.632/71.690/0.245 ms
14/07/01-11:43:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.590/71.640/71.699/0.295 ms
14/07/01-11:45:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.628/71.667/71.716/0.294 ms
14/07/01-11:47:14 - 5 packets transmitted, 4 received, 20% packet loss, time 4003ms rtt min/avg/max/mdev = 71.603/71.644/71.682/0.269 ms
14/07/01-11:48:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.626/71.715/71.837/0.189 ms
14/07/01-11:50:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.563/71.605/71.665/0.241 ms
14/07/01-11:52:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.590/71.682/71.811/0.074 ms
14/07/01-11:53:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.599/71.616/71.644/0.170 ms
14/07/01-11:55:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.545/71.613/71.643/0.173 ms
14/07/01-11:57:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.514/71.593/71.653/0.048 ms
14/07/01-11:58:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.586/71.626/71.666/0.294 ms
14/07/01-12:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.611/71.650/71.696/0.241 ms
14/07/01-12:02:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 71.565/71.708/71.834/0.199 ms
14/07/01-12:04:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.504/71.612/71.652/0.177 ms
14/07/01-12:05:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.631/71.668/71.710/0.241 ms
14/07/01-12:07:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.612/71.718/71.842/0.080 ms
14/07/01-12:09:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.619/71.647/71.685/0.294 ms
14/07/01-12:11:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.559/71.669/71.801/0.079 ms
14/07/01-12:13:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.626/71.661/71.697/0.339 ms
14/07/01-12:14:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.598/71.674/71.821/0.347 ms
14/07/01-12:16:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.573/71.631/71.659/0.340 ms
14/07/01-12:18:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.606/71.642/71.670/0.339 ms
14/07/01-12:20:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.530/71.654/71.813/0.196 ms
14/07/01-12:21:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 71.629/71.729/71.814/0.252 ms
14/07/01-12:23:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.648/71.669/71.701/0.170 ms
14/07/01-12:25:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.555/71.629/71.689/0.179 ms
14/07/01-12:27:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.575/71.664/71.748/0.343 ms
14/07/01-12:29:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.533/71.621/71.662/0.175 ms
14/07/01-12:30:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.578/71.635/71.689/0.173 ms
14/07/01-12:32:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.594/71.627/71.679/0.241 ms
14/07/01-12:34:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.570/71.652/71.782/0.073 ms
14/07/01-12:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.644/71.729/71.804/0.057 ms
14/07/01-12:38:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.646/71.680/71.714/0.241 ms
14/07/01-12:39:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.656/71.718/71.832/0.247 ms
14/07/01-12:41:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.573/71.633/71.653/0.030 ms
14/07/01-12:43:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.641/71.660/71.697/0.170 ms
14/07/01-12:45:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.679/71.751/71.808/0.298 ms
14/07/01-12:47:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.609/71.646/71.696/0.295 ms
14/07/01-12:48:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.634/71.660/71.695/0.240 ms
14/07/01-12:50:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.560/71.614/71.725/0.246 ms
14/07/01-12:52:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.620/71.636/71.655/0.293 ms
14/07/01-12:54:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 71.638/71.695/71.775/0.045 ms
14/07/01-12:56:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.427/71.501/71.525/0.340 ms
14/07/01-12:57:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.568/71.627/71.666/0.033 ms
14/07/01-12:59:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.589/71.635/71.663/0.339 ms
14/07/01-13:01:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.634/71.650/71.660/0.293 ms
14/07/01-13:03:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.537/71.663/71.708/0.248 ms
14/07/01-13:04:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 71.624/71.648/71.694/0.294 ms
14/07/01-13:06:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 71.634/71.663/71.694/0.170 ms
14/07/01-13:08:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.543/71.622/71.700/0.299 ms
14/07/01-13:09:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.631/71.662/71.714/0.339 ms
14/07/01-13:11:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.618/71.660/71.692/0.171 ms
14/07/01-13:12:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.628/71.644/71.673/0.293 ms
14/07/01-13:14:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.620/71.704/71.796/0.073 ms
14/07/01-13:16:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.645/71.653/71.666/0.008 ms
14/07/01-13:17:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.665/71.720/71.888/0.253 ms
14/07/01-13:19:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.604/71.639/71.668/0.240 ms
14/07/01-13:21:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.630/71.653/71.696/0.022 ms
14/07/01-13:22:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.559/71.651/71.772/0.348 ms
14/07/01-13:24:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.658/71.712/71.793/0.044 ms
14/07/01-13:26:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.489/71.546/71.671/0.299 ms
14/07/01-13:27:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.582/71.641/71.703/0.174 ms
14/07/01-13:29:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.652/71.656/71.663/0.293 ms
14/07/01-13:30:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.629/71.669/71.693/0.240 ms
14/07/01-13:32:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.588/71.686/71.815/0.258 ms
14/07/01-13:34:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.649/71.697/71.806/0.058 ms
14/07/01-13:35:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.623/71.662/71.702/0.172 ms
14/07/01-13:37:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.619/71.654/71.691/0.240 ms
14/07/01-13:39:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.586/71.627/71.647/0.293 ms
14/07/01-13:40:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.560/71.627/71.678/0.040 ms
14/07/01-13:42:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.608/71.633/71.685/0.294 ms
14/07/01-13:44:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.635/71.654/71.694/0.294 ms
14/07/01-13:45:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 71.660/71.708/71.815/0.245 ms
14/07/01-13:47:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.663/71.736/71.795/0.246 ms
14/07/01-13:48:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.595/71.643/71.676/0.241 ms
14/07/01-13:50:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.557/71.652/71.725/0.055 ms
