14/07/01-10:53:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.075/51.085/51.121/0.286 ms
14/07/01-10:54:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 51.124/51.168/51.299/0.212 ms
14/07/01-10:56:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.094/51.150/51.230/0.292 ms
14/07/01-10:58:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.103/51.192/51.245/0.054 ms
14/07/01-10:59:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.076/51.351/52.326/0.488 ms
14/07/01-11:01:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.069/51.088/51.132/0.248 ms
14/07/01-11:02:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.009/51.147/51.250/0.170 ms
14/07/01-11:04:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.096/51.178/51.257/0.060 ms
14/07/01-11:06:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.078/51.120/51.162/0.027 ms
14/07/01-11:07:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.069/51.115/51.140/0.145 ms
14/07/01-11:09:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 51.014/51.158/51.341/0.126 ms
14/07/01-11:11:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.076/51.238/51.618/0.249 ms
14/07/01-11:12:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.018/51.125/51.171/0.291 ms
14/07/01-11:14:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.117/51.177/51.336/0.297 ms
14/07/01-11:16:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.065/51.603/52.937/0.726 ms
14/07/01-11:17:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.024/51.134/51.244/0.301 ms
14/07/01-11:19:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.087/51.098/51.105/0.286 ms
14/07/01-11:20:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.035/51.075/51.109/0.028 ms
14/07/01-11:22:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.048/51.096/51.163/0.147 ms
14/07/01-11:24:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 51.081/51.169/51.264/0.068 ms
14/07/01-11:25:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 51.073/51.110/51.180/0.250 ms
14/07/01-11:27:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 51.086/51.129/51.177/0.249 ms
14/07/01-11:29:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.098/51.510/52.459/0.597 ms
14/07/01-11:30:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.070/51.162/51.392/0.116 ms
14/07/01-11:32:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 51.054/51.188/51.450/0.284 ms
14/07/01-11:34:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.058/51.104/51.175/0.039 ms
14/07/01-11:35:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.079/51.112/51.146/0.145 ms
14/07/01-11:37:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.107/51.747/52.645/0.555 ms
14/07/01-11:38:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.061/51.118/51.248/0.256 ms
14/07/01-11:40:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.983/51.063/51.117/0.044 ms
14/07/01-11:42:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.075/51.100/51.135/0.025 ms
14/07/01-11:43:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.068/51.278/52.063/0.464 ms
14/07/01-11:45:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.063/51.148/51.217/0.212 ms
14/07/01-11:47:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.983/51.105/51.190/0.074 ms
14/07/01-11:48:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.033/51.262/52.036/0.387 ms
14/07/01-11:50:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.145/51.204/51.271/0.290 ms
14/07/01-11:52:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.084/51.126/51.146/0.203 ms
14/07/01-11:53:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.090/51.141/51.240/0.152 ms
14/07/01-11:55:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.111/51.125/51.151/0.248 ms
14/07/01-11:56:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.059/51.095/51.135/0.033 ms
14/07/01-11:58:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.055/51.140/51.438/0.206 ms
14/07/01-12:00:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.098/51.540/52.916/0.756 ms
14/07/01-12:02:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.084/51.328/52.153/0.462 ms
14/07/01-12:03:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.055/51.088/51.162/0.037 ms
14/07/01-12:05:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.076/51.103/51.153/0.204 ms
14/07/01-12:07:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.013/51.083/51.215/0.257 ms
14/07/01-12:09:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.075/51.150/51.330/0.095 ms
14/07/01-12:11:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.110/51.800/52.615/0.668 ms
14/07/01-12:12:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.105/51.155/51.190/0.145 ms
14/07/01-12:14:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.078/51.150/51.253/0.292 ms
