14/07/01-10:51:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.113/125.222/125.340/0.453 ms
14/07/01-10:53:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 125.071/125.139/125.195/0.050 ms
14/07/01-10:55:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 125.123/125.174/125.348/0.328 ms
14/07/01-10:56:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 125.108/125.150/125.289/0.069 ms
14/07/01-10:58:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.148/125.175/125.205/0.021 ms
14/07/01-10:59:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 125.127/125.142/125.163/0.224 ms
14/07/01-11:01:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 125.109/125.124/125.169/0.317 ms
14/07/01-11:03:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 125.107/125.245/125.563/0.422 ms
14/07/01-11:04:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 125.087/125.209/125.276/0.236 ms
14/07/01-11:06:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 125.138/125.272/125.336/0.235 ms
14/07/01-11:08:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 125.123/125.162/125.209/0.388 ms
14/07/01-11:09:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 125.083/125.192/125.316/0.240 ms
14/07/01-11:11:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 125.110/125.124/125.152/0.387 ms
14/07/01-11:13:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 125.069/125.187/125.289/0.456 ms
14/07/01-11:14:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 125.062/125.110/125.157/0.318 ms
14/07/01-11:16:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 125.114/125.125/125.146/0.316 ms
