14/07/01-10:52:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.237/207.364/223.029/12.186 ms
14/07/01-10:54:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.227/195.399/197.975/1.449 ms
14/07/01-10:55:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.062/195.103/197.709/1.471 ms
14/07/01-10:57:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.106/194.572/194.843/0.627 ms
14/07/01-10:59:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.197/203.713/210.907/7.416 ms
14/07/01-11:00:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.303/195.336/196.691/0.887 ms
14/07/01-11:02:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.268/196.504/201.820/2.848 ms
14/07/01-11:04:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.150/197.590/209.905/6.182 ms
14/07/01-11:05:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 193.993/194.244/194.488/0.325 ms
14/07/01-11:07:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.045/194.310/194.507/0.320 ms
14/07/01-11:08:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.243/195.622/198.710/1.738 ms
14/07/01-11:10:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.213/196.189/203.075/3.479 ms
14/07/01-11:12:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.193/194.370/194.594/0.584 ms
14/07/01-11:13:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.247/194.474/195.043/0.572 ms
14/07/01-11:15:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.232/196.455/202.110/3.047 ms
14/07/01-11:17:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.104/199.728/221.501/10.887 ms
14/07/01-11:18:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.087/194.176/194.402/0.568 ms
14/07/01-11:20:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.068/194.484/195.137/0.649 ms
14/07/01-11:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.039/198.202/214.058/7.939 ms
14/07/01-11:23:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.780/196.018/200.648/2.349 ms
14/07/01-11:25:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.118/194.580/195.118/0.448 ms
14/07/01-11:27:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.100/194.328/194.798/0.471 ms
14/07/01-11:28:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.293/194.617/194.893/0.604 ms
14/07/01-11:30:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.148/194.290/194.706/0.446 ms
14/07/01-11:31:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.128/194.194/194.263/0.051 ms
14/07/01-11:33:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.030/194.627/195.758/0.727 ms
14/07/01-11:35:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.193/195.862/201.133/2.697 ms
14/07/01-11:36:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.038/194.449/195.491/0.671 ms
14/07/01-11:38:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.076/194.267/194.491/0.312 ms
14/07/01-11:40:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.009/194.619/195.803/0.789 ms
14/07/01-11:41:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.086/194.276/194.754/0.609 ms
14/07/01-11:43:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.076/194.361/194.841/0.552 ms
14/07/01-11:44:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.070/194.546/195.975/0.828 ms
14/07/01-11:46:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.093/194.419/194.843/0.545 ms
14/07/01-11:48:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 193.971/196.110/199.653/2.220 ms
14/07/01-11:49:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.090/194.435/194.743/0.482 ms
14/07/01-11:51:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.165/194.887/196.336/1.004 ms
14/07/01-11:53:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.157/194.210/194.266/0.559 ms
