14/07/01-10:54:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.884/152.016/152.128/0.264 ms
14/07/01-10:56:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.820/151.911/152.020/0.498 ms
14/07/01-10:58:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.897/151.983/152.098/0.355 ms
14/07/01-10:59:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.737/151.890/152.102/0.509 ms
14/07/01-11:01:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.916/152.033/152.216/0.363 ms
14/07/01-11:02:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.779/151.913/152.050/0.105 ms
14/07/01-11:04:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.924/151.971/152.003/0.494 ms
14/07/01-11:06:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.902/151.950/152.013/0.250 ms
14/07/01-11:07:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.791/151.916/152.011/0.256 ms
14/07/01-11:09:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.733/152.853/154.640/1.218 ms
14/07/01-11:11:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 151.753/151.871/152.018/0.502 ms
14/07/01-11:12:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.777/151.905/152.067/0.442 ms
14/07/01-11:14:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.796/151.950/152.021/0.500 ms
14/07/01-11:16:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.765/151.863/151.976/0.357 ms
14/07/01-11:17:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.742/151.896/152.184/0.381 ms
14/07/01-11:19:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 151.933/152.048/152.201/0.361 ms
14/07/01-11:21:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 151.789/151.976/152.102/0.368 ms
14/07/01-11:22:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.925/151.998/152.085/0.430 ms
14/07/01-11:24:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 151.870/152.030/152.181/0.265 ms
14/07/01-11:25:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.720/151.892/152.078/0.371 ms
14/07/01-11:27:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.788/151.922/152.015/0.357 ms
14/07/01-11:29:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.763/151.838/151.898/0.351 ms
14/07/01-11:30:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 151.938/151.986/152.047/0.040 ms
