14/07/01-10:55:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 223.733/223.993/224.227/0.466 ms
14/07/01-10:56:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 223.754/223.867/223.967/0.602 ms
14/07/01-10:58:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 223.847/223.952/224.087/0.085 ms
14/07/01-10:59:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.815/223.940/224.121/0.533 ms
14/07/01-11:01:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 223.821/223.909/223.994/0.523 ms
14/07/01-11:03:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 223.923/224.162/224.621/0.385 ms
14/07/01-11:04:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 223.724/223.940/224.174/0.143 ms
14/07/01-11:06:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 223.767/224.032/224.547/0.660 ms
14/07/01-11:08:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 223.722/223.940/224.401/0.645 ms
14/07/01-11:09:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 223.868/223.945/224.122/0.605 ms
14/07/01-11:11:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 223.837/223.997/224.276/0.345 ms
14/07/01-11:13:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 223.789/223.968/224.281/0.547 ms
14/07/01-11:14:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 223.816/223.904/224.039/0.523 ms
14/07/01-11:16:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.800/224.123/224.643/0.302 ms
14/07/01-11:18:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.749/224.131/225.178/0.739 ms
14/07/01-11:19:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 223.911/224.194/224.802/0.680 ms
14/07/01-11:21:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 223.717/224.203/224.850/0.408 ms
14/07/01-11:22:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 223.783/224.160/224.810/0.645 ms
