14/07/01-10:54:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.275/161.315/161.336/0.359 ms
14/07/01-10:55:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.181/161.300/161.339/0.260 ms
14/07/01-10:57:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 162.574/162.585/162.594/0.007 ms
14/07/01-10:59:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.268/161.973/162.569/0.576 ms
14/07/01-11:00:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.295/161.318/161.340/0.254 ms
14/07/01-11:02:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.307/161.335/161.371/0.255 ms
14/07/01-11:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 161.309/161.328/161.343/0.011 ms
14/07/01-11:05:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.299/161.340/161.375/0.255 ms
14/07/01-11:07:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.271/161.305/161.325/0.018 ms
14/07/01-11:09:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.171/161.254/161.306/0.442 ms
14/07/01-11:10:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.258/161.300/161.341/0.509 ms
14/07/01-11:12:23 - 5 packets transmitted, 3 received, 40% packet loss, time 4012ms rtt min/avg/max/mdev = 162.450/162.524/162.608/0.064 ms
14/07/01-11:14:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.322/161.338/161.370/0.440 ms
14/07/01-11:15:40 - 5 packets transmitted, 4 received, 20% packet loss, time 4010ms rtt min/avg/max/mdev = 161.309/161.646/162.622/0.748 ms
14/07/01-11:17:19 - 5 packets transmitted, 4 received, 20% packet loss, time 4009ms rtt min/avg/max/mdev = 162.536/162.582/162.610/0.494 ms
14/07/01-11:18:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.307/161.324/161.338/0.508 ms
14/07/01-11:20:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.240/161.317/161.400/0.443 ms
14/07/01-11:22:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.254/161.306/161.342/0.508 ms
14/07/01-11:23:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.306/161.338/161.381/0.508 ms
14/07/01-11:25:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.304/161.331/161.365/0.359 ms
14/07/01-11:27:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.266/161.313/161.347/0.027 ms
14/07/01-11:28:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 162.566/162.589/162.608/0.510 ms
14/07/01-11:30:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 162.547/162.586/162.608/0.021 ms
14/07/01-11:32:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.322/161.581/162.565/0.707 ms
14/07/01-11:33:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.253/161.278/161.299/0.359 ms
14/07/01-11:35:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 162.564/162.581/162.601/0.510 ms
14/07/01-11:36:59 - 5 packets transmitted, 4 received, 20% packet loss, time 4011ms rtt min/avg/max/mdev = 162.549/162.580/162.612/0.403 ms
14/07/01-11:38:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 162.487/162.558/162.635/0.049 ms
14/07/01-11:40:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.267/161.309/161.334/0.359 ms
14/07/01-11:41:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.307/161.332/161.363/0.022 ms
14/07/01-11:43:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.266/161.322/161.354/0.255 ms
14/07/01-11:45:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.327/161.338/161.357/0.010 ms
14/07/01-11:46:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.266/161.309/161.342/0.026 ms
14/07/01-11:48:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.253/161.302/161.363/0.441 ms
14/07/01-11:50:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.235/161.307/161.375/0.258 ms
14/07/01-11:51:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.202/161.308/161.365/0.259 ms
14/07/01-11:53:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.266/161.305/161.352/0.441 ms
14/07/01-11:55:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.288/161.329/161.342/0.020 ms
14/07/01-11:56:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.315/161.321/161.330/0.440 ms
14/07/01-11:58:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 161.231/161.272/161.307/0.255 ms
14/07/01-11:59:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.233/161.279/161.329/0.509 ms
14/07/01-12:01:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.229/161.312/161.351/0.042 ms
14/07/01-12:03:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.307/161.342/161.430/0.442 ms
14/07/01-12:05:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 161.298/161.308/161.333/0.012 ms
14/07/01-12:07:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.252/161.309/161.364/0.361 ms
14/07/01-12:08:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.322/161.342/161.367/0.359 ms
14/07/01-12:10:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.240/161.285/161.346/0.509 ms
14/07/01-12:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.304/161.324/161.337/0.254 ms
14/07/01-12:14:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 161.307/161.324/161.342/0.359 ms
14/07/01-12:15:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.262/161.328/161.369/0.509 ms
14/07/01-12:17:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.278/161.323/161.336/0.359 ms
14/07/01-12:19:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.291/161.331/161.355/0.021 ms
14/07/01-12:21:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.184/161.298/161.344/0.443 ms
14/07/01-12:23:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.294/161.326/161.383/0.360 ms
14/07/01-12:24:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 161.248/161.320/161.383/0.361 ms
14/07/01-12:26:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 161.324/161.335/161.344/0.254 ms
14/07/01-12:28:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 161.321/161.341/161.364/0.508 ms
14/07/01-12:30:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 161.236/161.311/161.367/0.257 ms
