14/07/01-10:54:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.322/184.352/184.381/0.272 ms
14/07/01-10:55:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.232/184.281/184.349/0.544 ms
14/07/01-10:57:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.272/184.327/184.396/0.274 ms
14/07/01-10:59:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.199/184.249/184.322/0.050 ms
14/07/01-11:00:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.192/184.235/184.263/0.026 ms
14/07/01-11:02:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.232/184.314/184.358/0.545 ms
14/07/01-11:04:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 184.232/184.471/185.211/0.461 ms
14/07/01-11:05:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 184.205/184.283/184.353/0.387 ms
14/07/01-11:07:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.181/184.240/184.292/0.472 ms
14/07/01-11:08:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.290/184.329/184.367/0.543 ms
14/07/01-11:10:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.266/184.341/184.387/0.042 ms
14/07/01-11:12:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.305/184.333/184.378/0.471 ms
14/07/01-11:13:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.253/184.328/184.411/0.387 ms
14/07/01-11:15:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.171/184.231/184.408/0.550 ms
14/07/01-11:17:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.224/184.311/184.407/0.389 ms
14/07/01-11:18:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.229/184.276/184.362/0.048 ms
14/07/01-11:20:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.179/184.231/184.356/0.063 ms
14/07/01-11:22:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.286/184.358/184.435/0.276 ms
14/07/01-11:23:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.235/184.290/184.349/0.274 ms
14/07/01-11:25:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 184.215/184.402/185.040/0.630 ms
14/07/01-11:26:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.212/184.278/184.328/0.275 ms
14/07/01-11:28:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.231/184.276/184.350/0.274 ms
14/07/01-11:30:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.221/184.269/184.363/0.387 ms
14/07/01-11:31:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.225/184.298/184.390/0.276 ms
14/07/01-11:33:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 184.246/184.314/184.361/0.386 ms
14/07/01-11:35:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.130/184.229/184.320/0.074 ms
14/07/01-11:36:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.234/184.287/184.351/0.544 ms
14/07/01-11:38:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.183/184.305/184.647/0.570 ms
14/07/01-11:40:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.211/184.258/184.308/0.544 ms
14/07/01-11:41:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.262/184.326/184.390/0.274 ms
14/07/01-11:43:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.244/184.318/184.418/0.546 ms
14/07/01-11:45:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.232/184.279/184.390/0.546 ms
14/07/01-11:46:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 184.210/184.318/184.540/0.401 ms
14/07/01-11:48:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.247/184.288/184.387/0.387 ms
14/07/01-11:49:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.175/184.268/184.428/0.549 ms
14/07/01-11:51:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.265/184.320/184.366/0.544 ms
14/07/01-11:53:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.232/184.305/184.377/0.276 ms
14/07/01-11:54:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.323/184.364/184.457/0.275 ms
14/07/01-11:56:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.214/184.418/184.894/0.365 ms
14/07/01-11:58:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.162/184.265/184.323/0.474 ms
14/07/01-11:59:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.208/184.892/187.416/1.320 ms
14/07/01-12:01:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.228/184.294/184.402/0.059 ms
14/07/01-12:03:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.189/184.257/184.326/0.277 ms
14/07/01-12:05:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.195/184.247/184.341/0.278 ms
14/07/01-12:06:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.236/184.272/184.338/0.471 ms
14/07/01-12:08:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.272/184.342/184.391/0.544 ms
14/07/01-12:10:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.222/184.259/184.349/0.046 ms
14/07/01-12:12:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.291/184.351/184.400/0.471 ms
14/07/01-12:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.265/184.603/185.236/0.583 ms
14/07/01-12:15:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.279/184.324/184.370/0.273 ms
14/07/01-12:17:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.226/184.316/184.387/0.388 ms
14/07/01-12:19:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.228/184.301/184.355/0.472 ms
14/07/01-12:21:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.234/184.301/184.367/0.275 ms
14/07/01-12:22:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.161/184.344/184.654/0.417 ms
14/07/01-12:24:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 184.310/184.349/184.447/0.545 ms
14/07/01-12:26:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.265/184.325/184.369/0.472 ms
14/07/01-12:28:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.251/184.318/184.410/0.473 ms
14/07/01-12:30:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.157/184.543/184.915/0.468 ms
14/07/01-12:31:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 184.220/184.325/184.449/0.073 ms
14/07/01-12:33:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.186/184.283/184.349/0.473 ms
14/07/01-12:35:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.176/184.261/184.323/0.546 ms
