14/07/01-10:55:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 59.482/59.602/59.773/0.326 ms
14/07/01-10:57:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 59.356/59.461/59.679/0.247 ms
14/07/01-10:58:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 59.479/59.740/59.983/0.351 ms
14/07/01-11:00:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 59.422/59.590/59.995/0.378 ms
14/07/01-11:01:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 59.468/59.583/59.824/0.296 ms
14/07/01-11:03:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 59.399/59.594/59.781/0.203 ms
14/07/01-11:05:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 59.376/59.637/59.950/0.388 ms
14/07/01-11:06:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 59.410/59.664/59.919/0.201 ms
14/07/01-11:08:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 59.443/59.685/59.863/0.139 ms
14/07/01-11:10:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 59.418/59.550/59.794/0.201 ms
14/07/01-11:11:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 59.841/60.009/60.309/0.311 ms
14/07/01-11:13:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 59.392/59.547/59.863/0.349 ms
14/07/01-11:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 59.531/59.722/59.937/0.149 ms
14/07/01-11:16:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 59.395/59.713/60.150/0.422 ms
14/07/01-11:18:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 59.386/59.726/59.990/0.312 ms
14/07/01-11:20:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 59.369/59.645/60.041/0.381 ms
