14/07/01-10:54:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.528/131.543/131.556/0.458 ms
14/07/01-10:56:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.449/131.507/131.626/0.330 ms
14/07/01-10:57:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.518/131.580/131.605/0.032 ms
14/07/01-10:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.574/131.621/131.687/0.039 ms
14/07/01-11:00:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.562/131.595/131.671/0.041 ms
14/07/01-11:02:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.562/131.593/131.620/0.325 ms
14/07/01-11:04:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.582/131.609/131.641/0.398 ms
14/07/01-11:05:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.538/131.546/131.559/0.458 ms
14/07/01-11:07:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.614/131.670/131.701/0.231 ms
14/07/01-11:09:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.602/131.650/131.741/0.328 ms
14/07/01-11:10:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.676/131.718/131.779/0.038 ms
14/07/01-11:12:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.638/131.665/131.714/0.325 ms
14/07/01-11:14:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.649/131.675/131.729/0.398 ms
14/07/01-11:15:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.664/131.689/131.710/0.325 ms
14/07/01-11:17:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.623/131.748/132.031/0.273 ms
14/07/01-11:19:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.651/131.674/131.695/0.014 ms
14/07/01-11:20:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 131.573/131.633/131.747/0.331 ms
14/07/01-11:22:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.554/131.598/131.701/0.053 ms
14/07/01-11:23:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.571/132.186/134.320/1.068 ms
14/07/01-11:25:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.586/131.734/132.260/0.476 ms
14/07/01-11:27:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.532/131.619/131.764/0.077 ms
14/07/01-11:28:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.511/131.581/131.634/0.233 ms
14/07/01-11:30:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.567/131.594/131.619/0.324 ms
14/07/01-11:32:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.606/131.625/131.655/0.230 ms
14/07/01-11:33:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.539/131.574/131.590/0.230 ms
14/07/01-11:35:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.556/131.594/131.626/0.398 ms
14/07/01-11:37:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.627/131.665/131.719/0.035 ms
