14/07/01-10:54:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.304/230.352/240.131/8.511 ms
14/07/01-10:56:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 227.381/235.294/240.211/5.490 ms
14/07/01-10:58:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 227.298/234.901/240.115/6.062 ms
14/07/01-10:59:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 214.361/226.850/239.810/8.080 ms
14/07/01-11:01:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 227.613/237.319/239.961/4.883 ms
14/07/01-11:03:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.091/223.137/239.336/9.230 ms
14/07/01-11:04:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.462/228.700/240.107/7.549 ms
14/07/01-11:06:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 225.453/232.418/240.080/6.291 ms
14/07/01-11:07:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 227.232/234.971/240.056/5.834 ms
14/07/01-11:09:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 226.092/234.517/239.673/6.022 ms
14/07/01-11:11:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 214.082/232.112/239.692/10.182 ms
14/07/01-11:12:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 187.154/195.441/201.003/6.620 ms
14/07/01-11:14:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.180/228.418/239.685/9.578 ms
14/07/01-11:16:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 239.652/239.953/240.190/0.647 ms
14/07/01-11:17:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 226.128/234.422/239.741/6.393 ms
14/07/01-11:19:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.612/228.214/239.781/10.185 ms
14/07/01-11:21:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.550/227.755/239.688/7.350 ms
14/07/01-11:22:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 214.251/232.996/239.794/9.929 ms
14/07/01-11:24:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 227.324/230.027/239.786/4.881 ms
14/07/01-11:26:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 226.374/232.096/239.975/6.309 ms
14/07/01-11:27:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 227.586/237.247/239.789/4.870 ms
14/07/01-11:29:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.920/232.614/240.185/9.711 ms
14/07/01-11:30:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.147/234.914/240.255/9.404 ms
14/07/01-11:32:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.216/231.221/240.234/10.810 ms
14/07/01-11:34:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.463/230.877/240.121/11.148 ms
14/07/01-11:35:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 227.650/237.432/240.063/4.891 ms
14/07/01-11:37:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 214.980/231.317/239.655/10.357 ms
14/07/01-11:39:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 189.851/213.468/239.969/19.269 ms
14/07/01-11:40:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 225.897/235.364/240.171/5.798 ms
14/07/01-11:42:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 231.386/238.158/239.931/3.414 ms
14/07/01-11:44:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 225.756/232.087/240.278/6.579 ms
14/07/01-11:45:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 227.839/237.360/239.935/4.801 ms
14/07/01-11:47:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.439/230.587/239.914/8.062 ms
14/07/01-11:48:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.505/223.897/239.752/8.979 ms
14/07/01-11:50:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 227.445/233.237/240.116/5.756 ms
14/07/01-11:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 227.408/234.904/239.977/5.916 ms
14/07/01-11:53:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 221.843/233.563/240.069/7.940 ms
14/07/01-11:55:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 219.718/227.415/239.941/7.692 ms
14/07/01-11:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 217.594/229.280/239.609/7.093 ms
14/07/01-11:58:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.666/235.014/240.351/9.678 ms
14/07/01-12:00:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.315/232.517/240.465/9.472 ms
14/07/01-12:02:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 220.044/230.440/240.102/8.021 ms
14/07/01-12:04:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 214.993/229.200/239.613/9.327 ms
14/07/01-12:06:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 227.148/237.359/240.095/5.116 ms
14/07/01-12:07:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 239.472/239.854/240.290/0.282 ms
14/07/01-12:09:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.233/233.203/240.376/8.948 ms
14/07/01-12:11:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 227.467/233.030/239.744/5.556 ms
14/07/01-12:13:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 227.479/233.210/240.052/5.660 ms
14/07/01-12:14:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.512/232.687/239.780/9.301 ms
14/07/01-12:16:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.329/228.802/240.144/6.859 ms
14/07/01-12:18:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 239.320/239.550/239.803/0.196 ms
14/07/01-12:20:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.404/229.010/239.650/9.223 ms
14/07/01-12:21:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 214.629/227.219/239.666/10.813 ms
14/07/01-12:23:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.326/229.571/239.643/8.691 ms
14/07/01-12:25:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 214.843/232.062/240.063/10.058 ms
14/07/01-12:27:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.648/234.950/239.870/9.661 ms
14/07/01-12:29:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.663/225.760/239.784/8.511 ms
14/07/01-12:30:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 227.624/234.856/239.829/5.912 ms
14/07/01-12:32:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 219.869/233.454/240.105/8.234 ms
14/07/01-12:34:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 215.141/232.437/239.906/9.797 ms
14/07/01-12:36:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 213.963/229.275/239.630/9.636 ms
14/07/01-12:38:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 214.839/224.964/240.331/9.115 ms
14/07/01-12:39:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 231.321/238.022/240.135/3.403 ms
14/07/01-12:41:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 225.752/230.215/239.735/4.975 ms
14/07/01-12:43:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 221.563/236.090/239.907/7.264 ms
14/07/01-12:45:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 239.502/239.719/240.003/0.357 ms
14/07/01-12:47:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 239.610/239.822/240.137/0.175 ms
14/07/01-12:48:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.607/229.673/239.779/9.413 ms
14/07/01-12:50:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.854/227.876/240.006/10.411 ms
14/07/01-12:52:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 215.541/231.939/240.426/10.435 ms
14/07/01-12:54:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 221.466/228.427/239.933/6.159 ms
14/07/01-12:56:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.198/229.124/240.024/9.623 ms
14/07/01-12:58:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 226.255/230.505/240.158/5.204 ms
14/07/01-12:59:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.516/225.753/239.861/7.781 ms
14/07/01-13:01:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 214.587/230.283/239.807/9.315 ms
14/07/01-13:03:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.999/233.003/239.775/9.315 ms
14/07/01-13:04:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.638/230.827/240.011/9.033 ms
14/07/01-13:06:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.043/235.055/239.965/5.732 ms
14/07/01-13:08:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 225.685/232.050/240.240/6.523 ms
14/07/01-13:09:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 213.999/234.463/239.809/10.251 ms
14/07/01-13:11:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 178.777/188.148/202.126/8.590 ms
14/07/01-13:12:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 213.648/231.327/240.396/10.990 ms
14/07/01-13:14:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.146/230.102/239.910/9.227 ms
14/07/01-13:16:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 190.841/199.510/202.703/4.406 ms
14/07/01-13:17:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 226.234/229.975/239.446/4.957 ms
14/07/01-13:19:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.658/228.622/239.823/10.222 ms
14/07/01-13:21:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.579/230.300/239.601/8.169 ms
14/07/01-13:22:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 214.380/224.740/239.638/9.053 ms
14/07/01-13:24:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.022/230.620/239.823/8.967 ms
14/07/01-13:26:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.186/230.530/240.159/8.379 ms
14/07/01-13:27:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.516/230.029/239.951/8.928 ms
14/07/01-13:29:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 227.048/229.881/239.610/4.901 ms
14/07/01-13:30:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.615/235.096/240.124/9.265 ms
14/07/01-13:32:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 226.162/234.674/239.970/6.391 ms
14/07/01-13:34:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 214.746/226.937/239.836/10.691 ms
14/07/01-13:35:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 239.486/239.687/240.053/0.648 ms
14/07/01-13:37:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 227.427/234.890/240.267/6.041 ms
14/07/01-13:39:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 227.261/237.329/240.046/5.054 ms
14/07/01-13:40:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 214.405/227.607/240.005/8.326 ms
14/07/01-13:42:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 217.999/231.415/239.856/8.185 ms
14/07/01-13:44:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 227.235/235.382/240.142/5.631 ms
14/07/01-13:45:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 226.063/237.084/240.122/5.551 ms
14/07/01-13:47:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.376/225.146/228.031/4.953 ms
14/07/01-13:49:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.442/222.706/231.314/5.674 ms
14/07/01-13:50:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.353/232.918/239.654/8.698 ms
14/07/01-13:52:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.017/231.409/239.973/10.173 ms
14/07/01-13:53:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 223.126/229.343/239.968/5.820 ms
14/07/01-13:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 227.120/234.619/239.750/6.065 ms
14/07/01-13:57:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 187.477/191.409/200.666/5.148 ms
14/07/01-13:58:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.248/225.984/239.501/7.787 ms
14/07/01-14:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 225.923/237.043/239.913/5.586 ms
14/07/01-14:02:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.475/228.998/239.955/9.388 ms
14/07/01-14:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 221.890/233.402/239.869/7.955 ms
14/07/01-14:05:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 214.402/220.949/239.753/9.606 ms
14/07/01-14:07:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.374/234.013/248.271/11.498 ms
14/07/01-14:08:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 227.577/237.342/239.853/4.902 ms
14/07/01-14:10:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 225.577/232.528/239.661/5.949 ms
14/07/01-14:11:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 227.323/234.961/240.233/6.240 ms
14/07/01-14:13:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 226.770/235.389/239.876/5.385 ms
14/07/01-14:15:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 223.728/232.180/239.793/6.499 ms
14/07/01-14:16:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.568/227.842/240.000/6.695 ms
14/07/01-14:18:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 226.396/234.607/240.137/6.394 ms
14/07/01-14:20:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.153/231.823/240.243/10.238 ms
14/07/01-14:21:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.014/230.248/240.188/9.028 ms
14/07/01-14:23:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 226.257/232.073/240.459/6.610 ms
14/07/01-14:25:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 214.589/222.139/239.930/9.738 ms
14/07/01-14:26:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 230.980/238.179/240.367/3.658 ms
