14/07/01-10:55:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.280/108.308/108.366/0.295 ms
14/07/01-10:56:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.217/108.601/110.027/0.799 ms
14/07/01-10:58:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 108.276/108.309/108.330/0.209 ms
14/07/01-11:00:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.235/108.547/109.612/0.676 ms
14/07/01-11:01:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.265/108.828/109.712/0.659 ms
14/07/01-11:03:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.212/108.262/108.305/0.034 ms
14/07/01-11:05:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 108.298/108.315/108.330/0.208 ms
14/07/01-11:06:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.176/108.352/108.770/0.469 ms
14/07/01-11:08:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.241/108.305/108.337/0.362 ms
14/07/01-11:09:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.303/108.324/108.367/0.417 ms
14/07/01-11:11:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 108.297/108.317/108.344/0.416 ms
14/07/01-11:13:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.291/108.298/108.308/0.360 ms
14/07/01-11:14:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.290/108.317/108.376/0.417 ms
14/07/01-11:16:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.295/108.661/109.252/0.564 ms
14/07/01-11:18:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.303/108.402/108.717/0.394 ms
14/07/01-11:19:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.310/110.084/111.907/1.478 ms
14/07/01-11:21:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.308/108.958/111.460/1.318 ms
