14/07/01-10:54:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 208.045/208.239/208.295/0.585 ms
14/07/01-10:56:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 208.102/208.151/208.197/0.409 ms
14/07/01-10:57:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 208.194/208.243/208.278/0.578 ms
14/07/01-10:59:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 208.146/208.226/208.286/0.048 ms
14/07/01-11:01:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 208.092/208.223/208.329/0.415 ms
14/07/01-11:02:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 208.098/208.196/208.261/0.295 ms
14/07/01-11:04:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 208.262/208.511/209.327/0.579 ms
14/07/01-11:06:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 208.147/208.224/208.308/0.295 ms
14/07/01-11:07:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 208.106/208.208/208.290/0.412 ms
14/07/01-11:09:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 208.094/208.198/208.278/0.295 ms
14/07/01-11:10:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 208.246/208.282/208.347/0.037 ms
14/07/01-11:12:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 208.246/208.267/208.314/0.289 ms
14/07/01-11:14:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 208.116/208.203/208.268/0.066 ms
14/07/01-11:15:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 208.129/208.198/208.274/0.292 ms
14/07/01-11:17:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 208.218/208.256/208.281/0.500 ms
