14/07/01-10:54:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.398/174.512/174.688/0.539 ms
14/07/01-10:55:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.560/174.615/174.677/0.376 ms
14/07/01-10:57:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.446/174.568/174.684/0.466 ms
14/07/01-10:59:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 174.409/174.502/174.573/0.532 ms
14/07/01-11:00:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.445/174.485/174.543/0.530 ms
14/07/01-11:02:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.384/174.486/174.538/0.377 ms
14/07/01-11:04:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.472/174.586/174.710/0.277 ms
14/07/01-11:05:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.550/174.617/174.711/0.056 ms
14/07/01-11:07:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.379/174.526/174.813/0.551 ms
14/07/01-11:09:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.383/174.495/174.609/0.074 ms
14/07/01-11:10:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.376/174.503/174.591/0.277 ms
14/07/01-11:12:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.415/174.502/174.601/0.463 ms
14/07/01-11:13:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.445/174.481/174.524/0.374 ms
14/07/01-11:15:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.525/174.606/174.682/0.068 ms
14/07/01-11:17:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.428/174.506/174.583/0.379 ms
14/07/01-11:18:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.397/174.506/174.675/0.095 ms
14/07/01-11:20:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 174.481/174.536/174.614/0.459 ms
14/07/01-11:22:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.480/174.534/174.634/0.378 ms
14/07/01-11:23:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.354/174.433/174.497/0.461 ms
14/07/01-11:25:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.338/174.497/174.565/0.534 ms
14/07/01-11:27:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 174.410/174.489/174.537/0.043 ms
