14/07/01-10:55:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.169/234.293/234.356/0.069 ms
14/07/01-10:56:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 234.222/234.300/234.408/0.438 ms
14/07/01-10:58:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.124/234.332/234.650/0.471 ms
14/07/01-11:00:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.135/234.360/234.681/0.183 ms
14/07/01-11:01:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.181/234.227/234.262/0.433 ms
14/07/01-11:03:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 234.202/234.299/234.419/0.537 ms
14/07/01-11:05:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.044/234.275/234.491/0.176 ms
14/07/01-11:06:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 234.149/234.202/234.256/0.041 ms
14/07/01-11:08:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 234.184/234.278/234.368/0.437 ms
14/07/01-11:10:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 234.232/234.300/234.458/0.536 ms
14/07/01-11:11:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.147/234.271/234.492/0.118 ms
14/07/01-11:13:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.165/234.327/234.652/0.558 ms
14/07/01-11:14:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.117/234.306/234.483/0.341 ms
14/07/01-11:16:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.205/234.286/234.385/0.535 ms
14/07/01-11:18:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.117/234.238/234.360/0.538 ms
14/07/01-11:19:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 234.229/234.468/234.827/0.484 ms
14/07/01-11:21:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.229/234.357/234.506/0.539 ms
14/07/01-11:23:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 234.152/234.250/234.479/0.448 ms
14/07/01-11:24:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.202/234.373/234.623/0.462 ms
14/07/01-11:26:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 234.106/234.218/234.373/0.537 ms
14/07/01-11:28:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.143/234.340/234.533/0.144 ms
14/07/01-11:29:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.109/234.331/234.470/0.133 ms
14/07/01-11:31:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.168/234.307/234.435/0.539 ms
14/07/01-11:33:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.192/234.338/234.478/0.099 ms
14/07/01-11:34:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 234.132/234.328/234.502/0.623 ms
14/07/01-11:36:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.202/234.327/234.422/0.617 ms
14/07/01-11:37:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.083/234.215/234.377/0.114 ms
14/07/01-11:39:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 234.204/234.455/234.963/0.593 ms
14/07/01-11:41:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.119/234.362/234.609/0.348 ms
14/07/01-11:42:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 234.284/234.365/234.477/0.318 ms
14/07/01-11:44:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.222/234.340/234.485/0.086 ms
14/07/01-11:46:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 234.360/234.423/234.508/0.312 ms
14/07/01-11:47:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 234.107/234.272/234.471/0.623 ms
14/07/01-11:49:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 234.172/234.313/234.429/0.323 ms
