14/07/01-10:54:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.662/183.676/183.690/0.383 ms
14/07/01-10:56:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 183.541/183.558/183.574/0.469 ms
14/07/01-10:57:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.614/183.650/183.668/0.383 ms
14/07/01-10:59:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 183.636/183.664/183.686/0.469 ms
14/07/01-11:01:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.571/183.648/183.686/0.274 ms
14/07/01-11:02:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.651/183.661/183.679/0.010 ms
14/07/01-11:04:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.610/183.660/183.682/0.470 ms
14/07/01-11:06:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 183.662/183.670/183.682/0.271 ms
14/07/01-11:07:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.615/183.673/183.717/0.032 ms
14/07/01-11:09:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.630/183.656/183.676/0.542 ms
14/07/01-11:11:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 183.656/183.674/183.698/0.383 ms
14/07/01-11:12:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 183.622/183.662/183.711/0.542 ms
14/07/01-11:14:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.654/183.682/183.716/0.542 ms
14/07/01-11:16:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.658/183.672/183.692/0.469 ms
14/07/01-11:17:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.636/183.651/183.700/0.542 ms
14/07/01-11:19:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.675/183.685/183.696/0.383 ms
14/07/01-11:20:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 183.644/183.673/183.685/0.014 ms
14/07/01-11:22:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.668/183.698/183.728/0.383 ms
14/07/01-11:24:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 183.649/183.670/183.706/0.383 ms
14/07/01-11:25:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.632/183.678/183.776/0.275 ms
14/07/01-11:27:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.658/183.702/183.743/0.272 ms
14/07/01-11:29:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.564/183.647/183.692/0.385 ms
14/07/01-11:30:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.646/183.662/183.693/0.469 ms
14/07/01-11:32:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.593/183.668/183.708/0.543 ms
14/07/01-11:34:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 183.621/183.652/183.676/0.469 ms
14/07/01-11:35:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.627/183.668/183.691/0.469 ms
14/07/01-11:37:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.658/183.663/183.670/0.542 ms
14/07/01-11:38:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.664/183.679/183.692/0.009 ms
14/07/01-11:40:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.589/183.662/183.745/0.275 ms
14/07/01-11:42:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 183.638/183.665/183.693/0.271 ms
14/07/01-11:43:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.619/183.666/183.703/0.384 ms
14/07/01-11:45:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.618/183.660/183.682/0.271 ms
14/07/01-11:47:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 183.641/183.668/183.689/0.469 ms
14/07/01-11:48:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 183.665/183.694/183.720/0.271 ms
14/07/01-11:50:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.653/183.709/183.828/0.546 ms
14/07/01-11:52:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.651/183.677/183.715/0.383 ms
14/07/01-11:53:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 183.657/183.682/183.715/0.542 ms
14/07/01-11:55:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.583/183.667/183.719/0.048 ms
14/07/01-11:56:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.542/183.623/183.673/0.471 ms
14/07/01-11:58:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.692/183.704/183.726/0.011 ms
14/07/01-12:00:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.649/183.692/183.758/0.273 ms
14/07/01-12:02:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 183.675/183.684/183.699/0.469 ms
14/07/01-12:04:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 183.643/183.666/183.680/0.469 ms
14/07/01-12:05:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 183.671/183.692/183.731/0.469 ms
14/07/01-12:07:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.645/183.674/183.724/0.542 ms
14/07/01-12:09:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.661/183.668/183.675/0.383 ms
14/07/01-12:11:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.593/183.678/183.759/0.276 ms
14/07/01-12:12:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.664/183.685/183.729/0.272 ms
14/07/01-12:14:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.657/183.667/183.673/0.469 ms
14/07/01-12:16:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.608/183.670/183.697/0.272 ms
14/07/01-12:18:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 183.636/183.680/183.738/0.470 ms
14/07/01-12:19:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 183.653/183.675/183.696/0.383 ms
14/07/01-12:21:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.671/183.690/183.717/0.271 ms
14/07/01-12:23:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.657/183.685/183.726/0.384 ms
14/07/01-12:25:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.646/183.664/183.680/0.383 ms
14/07/01-12:27:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 183.608/183.657/183.674/0.470 ms
14/07/01-12:28:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 183.584/183.649/183.684/0.384 ms
