14/07/01-10:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.639/71.743/71.800/0.343 ms
14/07/01-10:57:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.659/71.773/71.816/0.179 ms
14/07/01-10:58:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.628/71.655/71.686/0.339 ms
14/07/01-11:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.684/71.705/71.753/0.339 ms
14/07/01-11:02:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 71.591/71.628/71.658/0.022 ms
14/07/01-11:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.518/71.649/71.803/0.255 ms
14/07/01-11:05:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.629/71.715/71.851/0.351 ms
14/07/01-11:07:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 71.629/71.667/71.708/0.241 ms
14/07/01-11:08:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 71.615/71.728/71.800/0.254 ms
14/07/01-11:10:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.625/71.739/71.801/0.248 ms
14/07/01-11:11:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.651/71.665/71.684/0.169 ms
14/07/01-11:13:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.564/71.671/71.802/0.251 ms
14/07/01-11:15:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.661/71.734/71.788/0.297 ms
14/07/01-11:16:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 71.629/71.709/71.805/0.346 ms
14/07/01-11:18:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.630/71.704/71.752/0.175 ms
14/07/01-11:20:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.567/71.645/71.682/0.242 ms
14/07/01-11:21:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.577/71.710/71.802/0.310 ms
14/07/01-11:23:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.605/71.686/71.794/0.302 ms
14/07/01-11:25:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.605/71.677/71.728/0.341 ms
14/07/01-11:26:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.605/71.723/71.794/0.345 ms
14/07/01-11:28:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.602/71.666/71.795/0.248 ms
14/07/01-11:29:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 71.637/71.725/71.793/0.062 ms
14/07/01-11:31:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.629/71.677/71.806/0.181 ms
14/07/01-11:33:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 71.571/71.680/71.780/0.301 ms
14/07/01-11:34:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.569/71.646/71.756/0.299 ms
14/07/01-11:36:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 71.630/71.708/71.794/0.342 ms
14/07/01-11:38:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 71.634/71.699/71.795/0.245 ms
14/07/01-11:39:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.594/71.729/71.797/0.347 ms
14/07/01-11:41:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 71.566/71.692/71.796/0.090 ms
14/07/01-11:43:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 71.734/71.770/71.803/0.240 ms
