14/07/01-10:54:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 185.085/185.653/186.998/0.798 ms
14/07/01-10:56:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 184.943/185.530/186.124/0.613 ms
14/07/01-10:57:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.507/225.289/241.825/8.561 ms
14/07/01-10:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 185.018/185.801/186.814/0.770 ms
14/07/01-11:01:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 184.937/185.257/186.000/0.662 ms
14/07/01-11:02:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 185.100/185.634/186.076/0.471 ms
14/07/01-11:04:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 184.994/185.284/186.076/0.676 ms
14/07/01-11:05:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.006/185.298/185.694/0.393 ms
14/07/01-11:07:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 185.032/185.316/185.917/0.337 ms
14/07/01-11:09:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.927/185.195/185.745/0.289 ms
14/07/01-11:10:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.056/185.848/187.319/1.004 ms
14/07/01-11:12:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.081/185.678/186.917/0.847 ms
14/07/01-11:14:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 185.001/185.462/186.224/0.641 ms
14/07/01-11:15:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.987/185.242/185.799/0.484 ms
14/07/01-11:17:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 185.080/185.370/185.861/0.603 ms
14/07/01-11:19:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.070/185.515/185.940/0.521 ms
14/07/01-11:20:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.002/185.375/185.934/0.670 ms
14/07/01-11:22:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.039/185.228/185.667/0.525 ms
14/07/01-11:24:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 185.292/185.507/185.918/0.244 ms
14/07/01-11:25:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.016/185.538/186.755/0.632 ms
14/07/01-11:27:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.088/185.508/185.896/0.644 ms
14/07/01-11:28:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.077/186.357/188.906/1.317 ms
14/07/01-11:30:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 185.044/185.267/185.450/0.494 ms
14/07/01-11:32:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 219.408/227.007/235.616/6.330 ms
14/07/01-11:33:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.084/185.590/186.311/0.659 ms
14/07/01-11:35:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.983/185.802/187.376/0.887 ms
14/07/01-11:37:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 185.193/185.972/187.748/0.957 ms
14/07/01-11:38:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.074/185.656/186.175/0.466 ms
14/07/01-11:40:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.100/185.357/185.900/0.407 ms
14/07/01-11:42:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 185.054/185.715/186.803/0.763 ms
14/07/01-11:43:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 185.132/185.231/185.301/0.278 ms
14/07/01-11:45:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 185.011/185.230/185.832/0.623 ms
14/07/01-11:46:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.138/185.390/185.992/0.418 ms
14/07/01-11:48:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.047/186.126/188.372/1.314 ms
14/07/01-11:50:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.961/185.151/185.259/0.484 ms
14/07/01-11:51:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.017/185.441/185.864/0.631 ms
14/07/01-11:53:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 185.011/185.587/186.516/0.702 ms
14/07/01-11:55:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.128/185.386/186.035/0.576 ms
14/07/01-11:56:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 205.571/211.859/215.853/3.961 ms
14/07/01-11:58:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 186.089/187.852/189.863/1.462 ms
14/07/01-12:00:15 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:02:03 - 5 packets transmitted, 0 received, 100% packet loss, time 4001ms
14/07/01-12:03:51 - 5 packets transmitted, 0 received, 100% packet loss, time 3999ms
14/07/01-12:05:39 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:07:27 - 5 packets transmitted, 0 received, 100% packet loss, time 4000ms
14/07/01-12:09:15 - 5 packets transmitted, 0 received, 100% packet loss, time 4025ms
14/07/01-12:11:04 - 5 packets transmitted, 0 received, 100% packet loss, time 4024ms
14/07/01-12:12:43 - 5 packets transmitted, 2 received, 60% packet loss, time 4004ms rtt min/avg/max/mdev = 183.145/183.194/183.243/0.049 ms
