14/07/01-10:55:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.786/55.829/55.915/0.263 ms
14/07/01-10:57:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.683/55.740/55.787/0.300 ms
14/07/01-10:58:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.672/55.743/55.800/0.262 ms
14/07/01-11:00:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.754/55.898/56.417/0.334 ms
14/07/01-11:02:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 55.673/55.749/55.803/0.262 ms
14/07/01-11:03:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.724/55.784/55.919/0.267 ms
14/07/01-11:05:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.751/55.771/55.796/0.299 ms
14/07/01-11:06:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 56.095/56.302/56.440/0.255 ms
14/07/01-11:08:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 55.769/55.776/55.785/0.258 ms
14/07/01-11:10:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.659/55.956/56.630/0.380 ms
14/07/01-11:11:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.753/55.811/55.885/0.158 ms
14/07/01-11:13:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 55.720/55.757/55.809/0.260 ms
14/07/01-11:15:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.752/55.773/55.793/0.016 ms
