14/07/01-10:54:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.587/216.666/216.739/0.512 ms
14/07/01-10:56:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.645/216.686/216.727/0.589 ms
14/07/01-10:58:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.618/216.696/216.848/0.424 ms
14/07/01-10:59:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.618/216.668/216.777/0.420 ms
14/07/01-11:01:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.606/216.626/216.646/0.588 ms
14/07/01-11:03:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.616/216.655/216.754/0.590 ms
14/07/01-11:04:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.655/216.666/216.692/0.588 ms
14/07/01-11:06:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.627/216.651/216.692/0.295 ms
14/07/01-11:08:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.592/216.677/216.849/0.308 ms
14/07/01-11:09:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.569/216.645/216.703/0.590 ms
14/07/01-11:11:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.634/216.691/216.764/0.298 ms
14/07/01-11:12:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.615/216.631/216.654/0.013 ms
14/07/01-11:14:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.618/216.691/216.817/0.592 ms
14/07/01-11:16:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 216.618/216.650/216.681/0.295 ms
14/07/01-11:17:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 216.623/216.658/216.713/0.589 ms
14/07/01-11:19:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.626/216.773/217.280/0.569 ms
14/07/01-11:21:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.571/216.631/216.703/0.297 ms
14/07/01-11:22:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.641/216.659/216.694/0.589 ms
14/07/01-11:24:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 216.618/216.632/216.643/0.294 ms
