14/07/01-10:56:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 191.753/191.790/191.826/0.554 ms
14/07/01-10:57:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.608/191.705/191.832/0.489 ms
14/07/01-10:59:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.622/191.765/192.059/0.576 ms
14/07/01-11:00:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 191.540/191.669/191.771/0.090 ms
14/07/01-11:02:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.547/191.703/192.007/0.506 ms
14/07/01-11:04:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 191.664/191.915/192.410/0.471 ms
14/07/01-11:05:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 191.762/191.810/191.906/0.395 ms
14/07/01-11:07:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 191.675/191.830/192.010/0.129 ms
14/07/01-11:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.625/191.790/191.983/0.120 ms
14/07/01-11:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 191.703/191.778/191.828/0.555 ms
14/07/01-11:12:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 191.664/192.054/192.950/0.473 ms
14/07/01-11:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.701/192.197/192.718/0.450 ms
14/07/01-11:15:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.817/192.530/193.281/0.604 ms
14/07/01-11:17:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 191.651/192.026/192.768/0.680 ms
14/07/01-11:18:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 203.627/207.621/210.916/2.389 ms
14/07/01-11:20:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.704/221.302/224.951/3.059 ms
14/07/01-11:22:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 221.446/225.890/228.798/2.415 ms
14/07/01-11:23:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.083/222.110/229.759/4.600 ms
14/07/01-11:25:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 219.524/220.998/223.264/1.351 ms
14/07/01-11:27:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 220.944/224.001/228.314/2.527 ms
