14/07/01-10:56:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.204/246.504/255.423/10.826 ms
14/07/01-10:57:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 232.893/233.154/233.373/0.633 ms
14/07/01-10:59:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 233.210/246.571/255.517/10.892 ms
14/07/01-11:01:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.943/247.006/256.365/10.528 ms
14/07/01-11:02:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 232.988/246.323/255.247/10.862 ms
14/07/01-11:04:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.081/242.065/255.560/10.886 ms
14/07/01-11:06:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.081/238.934/258.141/9.657 ms
14/07/01-11:07:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.039/241.957/255.411/10.896 ms
14/07/01-11:09:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 233.080/246.644/255.518/10.819 ms
14/07/01-11:11:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.032/237.585/255.411/8.934 ms
14/07/01-11:12:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.076/250.833/255.367/8.884 ms
14/07/01-11:14:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.269/242.132/255.434/10.845 ms
14/07/01-11:15:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.118/255.356/256.220/0.771 ms
14/07/01-11:17:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.041/246.426/255.445/10.925 ms
14/07/01-11:19:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 233.005/242.242/255.390/10.668 ms
14/07/01-11:20:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.008/242.018/255.211/10.761 ms
14/07/01-11:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.045/246.550/255.703/10.913 ms
14/07/01-11:24:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.019/242.151/255.828/10.916 ms
14/07/01-11:25:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.210/242.121/255.402/10.853 ms
14/07/01-11:27:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 233.302/246.711/255.630/10.758 ms
14/07/01-11:28:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 233.038/237.626/255.291/8.833 ms
14/07/01-11:30:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 233.081/246.496/255.602/10.892 ms
14/07/01-11:32:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 233.334/251.541/258.510/9.189 ms
