14/07/01-10:55:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.818/107.813/108.075/0.497 ms
14/07/01-10:57:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 106.771/106.805/106.880/0.360 ms
14/07/01-10:58:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.766/106.785/106.822/0.207 ms
14/07/01-11:00:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.004/108.110/108.214/0.219 ms
14/07/01-11:02:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.777/106.894/107.326/0.216 ms
14/07/01-11:03:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 107.990/108.047/108.096/0.296 ms
14/07/01-11:05:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.003/108.602/109.959/0.810 ms
14/07/01-11:07:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.054/108.886/109.975/0.796 ms
14/07/01-11:08:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.019/108.051/108.111/0.361 ms
14/07/01-11:10:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.753/106.801/106.842/0.293 ms
14/07/01-11:11:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.785/106.805/106.825/0.292 ms
14/07/01-11:13:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 106.781/106.791/106.816/0.292 ms
14/07/01-11:15:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 106.785/106.803/106.814/0.358 ms
14/07/01-11:16:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 106.746/106.784/106.820/0.027 ms
