14/07/01-10:55:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.774/111.832/111.900/0.369 ms
14/07/01-10:57:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.785/111.830/111.927/0.049 ms
14/07/01-10:58:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.767/110.582/111.882/1.966 ms
14/07/01-11:00:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.318/110.756/111.931/2.259 ms
14/07/01-11:01:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.578/111.896/112.558/0.544 ms
14/07/01-11:03:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 111.858/111.919/111.971/0.217 ms
14/07/01-11:05:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.761/111.813/111.891/0.044 ms
14/07/01-11:06:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 112.074/112.867/113.805/0.552 ms
14/07/01-11:08:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.387/110.767/111.935/2.211 ms
14/07/01-11:10:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 106.209/109.625/111.867/2.712 ms
14/07/01-11:11:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.798/111.864/111.970/0.427 ms
14/07/01-11:13:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.804/110.593/111.935/1.983 ms
14/07/01-11:15:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 107.421/110.725/111.885/1.733 ms
14/07/01-11:16:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.803/112.131/112.713/0.405 ms
14/07/01-11:18:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.902/111.917/111.943/0.299 ms
14/07/01-11:19:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 110.529/111.800/112.803/0.815 ms
14/07/01-11:21:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.386/110.813/111.956/2.253 ms
14/07/01-11:23:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.169/110.749/111.986/2.329 ms
14/07/01-11:24:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 107.494/110.999/111.900/1.752 ms
14/07/01-11:26:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.772/111.824/111.884/0.215 ms
14/07/01-11:28:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.145/109.867/111.966/2.538 ms
14/07/01-11:29:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.885/111.915/111.980/0.368 ms
14/07/01-11:31:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.135/109.565/111.852/2.784 ms
14/07/01-11:33:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 110.608/111.624/111.920/0.591 ms
14/07/01-11:34:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 111.864/111.908/111.943/0.367 ms
14/07/01-11:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.880/111.911/111.950/0.423 ms
14/07/01-11:37:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 111.793/112.764/113.838/0.844 ms
14/07/01-11:39:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.771/111.859/111.930/0.427 ms
14/07/01-11:41:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 110.576/111.571/111.895/0.654 ms
14/07/01-11:42:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 110.530/111.341/111.894/0.643 ms
14/07/01-11:44:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 107.430/110.968/111.915/1.781 ms
14/07/01-11:46:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.814/111.876/111.927/0.424 ms
14/07/01-11:47:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.890/111.940/112.070/0.067 ms
14/07/01-11:49:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 107.479/110.710/111.869/1.693 ms
14/07/01-11:50:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 110.506/111.602/111.942/0.589 ms
14/07/01-11:52:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.862/111.926/112.018/0.370 ms
14/07/01-11:54:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.812/111.861/111.910/0.424 ms
14/07/01-11:55:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.836/111.879/111.919/0.213 ms
14/07/01-11:57:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.851/111.932/112.098/0.230 ms
14/07/01-11:59:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.206/110.798/112.223/2.310 ms
14/07/01-12:00:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.823/111.875/111.921/0.036 ms
14/07/01-12:02:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.825/111.910/112.099/0.233 ms
14/07/01-12:04:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 110.611/111.640/112.059/0.638 ms
14/07/01-12:06:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.683/112.001/113.818/1.837 ms
14/07/01-12:08:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.834/112.062/112.753/0.347 ms
14/07/01-12:09:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.894/111.909/111.928/0.366 ms
14/07/01-12:11:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.846/112.522/113.802/0.890 ms
14/07/01-12:13:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 106.627/110.852/112.009/2.155 ms
14/07/01-12:15:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.567/111.825/112.081/0.341 ms
14/07/01-12:16:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.804/111.859/111.910/0.424 ms
14/07/01-12:18:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 111.842/111.898/111.972/0.302 ms
14/07/01-12:20:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 106.838/110.674/112.095/1.994 ms
14/07/01-12:22:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.831/111.920/111.997/0.428 ms
14/07/01-12:24:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.759/111.909/112.055/0.313 ms
14/07/01-12:25:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 110.773/111.672/111.962/0.498 ms
14/07/01-12:27:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.610/111.844/111.946/0.439 ms
14/07/01-12:29:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 107.524/111.072/112.112/1.800 ms
14/07/01-12:31:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.870/111.927/111.983/0.216 ms
14/07/01-12:33:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 110.585/111.603/111.938/0.663 ms
14/07/01-12:34:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.784/111.843/111.930/0.369 ms
14/07/01-12:36:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.883/111.912/111.947/0.212 ms
14/07/01-12:38:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 111.781/111.845/111.933/0.426 ms
14/07/01-12:40:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.758/112.242/113.672/0.722 ms
14/07/01-12:42:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.905/111.949/111.980/0.024 ms
14/07/01-12:43:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 107.385/110.721/111.882/1.777 ms
14/07/01-12:45:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.827/111.895/111.963/0.060 ms
14/07/01-12:47:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.267/110.724/111.897/2.228 ms
14/07/01-12:49:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 111.811/111.860/111.906/0.368 ms
14/07/01-12:51:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.829/112.281/113.936/0.880 ms
14/07/01-12:52:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.868/111.925/112.001/0.216 ms
14/07/01-12:54:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 107.504/110.805/112.023/1.730 ms
14/07/01-12:56:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 111.887/112.009/112.323/0.161 ms
14/07/01-12:58:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.883/111.955/111.989/0.424 ms
14/07/01-13:00:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 110.631/111.650/111.972/0.630 ms
14/07/01-13:01:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 110.567/111.610/111.941/0.673 ms
14/07/01-13:03:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.870/111.922/112.043/0.221 ms
14/07/01-13:05:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 106.246/110.496/112.058/2.188 ms
14/07/01-13:06:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 112.083/113.250/113.836/0.639 ms
14/07/01-13:08:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 107.549/111.137/112.206/1.834 ms
14/07/01-13:10:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.883/112.283/113.002/0.457 ms
