14/07/01-10:56:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.427/39.819/40.204/0.297 ms
14/07/01-10:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.546/39.760/40.129/0.238 ms
14/07/01-10:59:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 39.870/40.093/40.406/0.269 ms
14/07/01-11:01:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 39.506/39.892/41.126/0.632 ms
14/07/01-11:03:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 39.494/39.772/40.016/0.239 ms
14/07/01-11:04:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 39.396/39.623/39.907/0.258 ms
14/07/01-11:06:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 39.495/39.731/40.169/0.267 ms
14/07/01-11:08:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 39.349/39.818/41.315/0.795 ms
14/07/01-11:09:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.550/39.710/39.916/0.286 ms
14/07/01-11:11:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 39.473/39.771/40.403/0.357 ms
14/07/01-11:13:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 39.529/39.876/40.227/0.349 ms
14/07/01-11:14:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.554/39.764/39.919/0.144 ms
14/07/01-11:16:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 39.635/40.232/41.425/0.632 ms
14/07/01-11:17:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 39.374/39.508/39.765/0.222 ms
14/07/01-11:19:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.476/39.795/40.224/0.342 ms
14/07/01-11:21:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 39.518/39.681/40.118/0.338 ms
14/07/01-11:22:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 39.506/40.129/41.205/0.615 ms
14/07/01-11:24:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.582/39.796/39.990/0.130 ms
14/07/01-11:26:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.621/39.715/39.803/0.226 ms
14/07/01-11:27:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.392/39.842/40.756/0.473 ms
14/07/01-11:29:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.514/40.125/41.110/0.558 ms
14/07/01-11:30:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 39.380/39.690/40.136/0.277 ms
