14/07/01-10:55:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 94.621/94.670/94.736/0.278 ms
14/07/01-10:57:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 94.612/94.637/94.657/0.337 ms
14/07/01-10:58:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 94.581/94.879/95.952/0.633 ms
14/07/01-11:00:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 94.619/94.718/95.005/0.144 ms
14/07/01-11:02:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 94.599/94.764/95.313/0.275 ms
14/07/01-11:03:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 94.569/94.601/94.629/0.276 ms
14/07/01-11:05:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 94.575/94.641/94.680/0.198 ms
14/07/01-11:07:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 94.586/94.619/94.661/0.337 ms
14/07/01-11:08:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 94.588/94.609/94.635/0.389 ms
14/07/01-11:10:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 94.611/94.646/94.679/0.390 ms
14/07/01-11:12:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 94.603/95.622/96.551/0.857 ms
14/07/01-11:13:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 94.607/94.631/94.661/0.275 ms
14/07/01-11:15:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 94.661/94.675/94.696/0.275 ms
14/07/01-11:16:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 94.676/94.683/94.697/0.194 ms
14/07/01-11:18:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 94.657/94.676/94.695/0.275 ms
14/07/01-11:20:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 94.678/94.720/94.770/0.031 ms
